date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-12-23,2,,1500000000,,,,,,,,1500000000,0,0,0,,,,,,0,,,,
2020-12-24,0,,0,,,,,,,,1500000000,0,0,0,,,,,,0,,,,
2020-12-25,33995,,0,,5.100347686022,,,,,,1500000000,75207,86535,294097597.3287089,,4124.601540048520792867,,671.8080814907433,,356922394.268098746810780697,,,,
2020-12-26,12305,2428992153.36216,0,0,12.716128042522,,0.00006115733579230895,1.61932810224144,,,1500000000,27081,33665,117960435.36083202,191016647.9324301676009453229,4792.269327578517042734,7760.256395657581765235658266,676.9722511784005,1096.240190770834725385364017,161331746.912930776243637062,261249031.5598124901266534998,,,
2020-12-27,6016,1608525300.63852,0,0,18.195670173575,,0.00004057190490525004,1.07235020042568,,,1500000000,13526,17187,82437194.43642111,88401541.9764269295204177381,7152.463447849268782835,7669.945611838513589607345552,969.1914847526552,1039.312682925372185480550266,122929389.278185382570579175,131823355.2306685330645750461,,,
2020-12-28,3929,1657011227.396235,0,0,28.725465319038,,0.00004085431756440888,1.10467415159749,,,1500000000,7700,9924,52218475.25672113,57684399.85193293810764893796,7827.885611693745453023,8647.262896899987304459188879,998.2058144228226,1102.692161167213102738104875,77683936.810448729875796122,85815436.98883547400944842813,,,
2020-12-29,3330,1340685537.513522,0,0,16.403560330145,,0.000032822286382232624,0.893790358342348,,,1500000000,7326,10132,91443562.84918395,81731374.80707314353264652691,13948.300876616521253794,12466.85683877796726865106094,2943.683686421671,2631.036096933349284727304224,141324184.481878593343437984,126314193.4904983643659700253,,,
2020-12-30,2581,1651959827.81835,0,0,22.924883497477,,0.00003818066569257755,1.1013065518789,,,1500000000,6347,8394,65431084.967785195,72059682.57156683979249885289,11568.435916185061882306,12740.39426948579390605903967,3586.3475492634266,3949.668053318647800335282239,97105451.080457409440077963,106942869.4980637540474611198,,,
2020-12-31,2376,2047856105.999595,0,0,30.784193213889,,0.000047040376972530615,1.36523740399973,,,1500000000,5904,7597,48726305.39894277,66522974.68935065555691136545,9472.653601570240826561,12932.42101199644829323652992,2720.4708274732743,3714.088530156610357588499416,71963749.411129119559384396,98247602.42813701768371857177,,,
2021-01-01,2251,1725317485.134135,0,0,40.267563761617,,0.00003914855337375833,1.15021165675609,,,1500000000,4717,5999,37250825.72365095,42846333.97113293438686844679,8341.038933952565153949,9593.960211288630718743769217,1191.0413748237727,1369.949673001102778525097501,50037892.564781438358538555,57554167.30752049568174215081,,,
