date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-23,0,406,271056,667.625615763547,,,,,,0,,0,0,,0,,,,,,,,31112484745,31112484745,25145689143,0,0,0,,,,,,0,,,,
2017-09-24,8,4320,2876663,665.894212962963,,0.1398796,,0.170894,,0.699398,,0,0,,0,,39948543226.368044231357,,,,,,31112484744.300602,31112484744.300602,25145689142.300602,5,9,0.778814,,0.31199111,,0.558212,,2.80792,,,,
2017-09-25,16,4320,2742565,634.853009259259,,0.06507962,,0,,0.520637,,0,0,,0,,5356400239.681052786888,,,,,,31112484743.779965,31112484743.779965,25145689141.779965,8,11,5.808469,,0.64887045,,1,,7.137575,,,,
2017-09-26,4,4320,2863442,662.833796296296,,0.178761,,0.178761,,0.178761,,0,0,,0,,28268606402.315463718947,,,,,,31112484743.601204,31112484743.601204,25145689141.601204,1,2,1.100602,,0.550301,,1.100602,,1.100602,,,,
2017-09-27,12,4320,2741944,634.709259259259,,0.1139295,,0.1708065,,0.683577,,0,0,,0,,12.631578975517,,,,,,31112484742.917627,31112484742.917627,25145690141.088697,6,9,2463071703.325529,,547349267.147281,,0.964553,,4926143404.325529,,,,
2017-09-28,65,4306,2888367,670.777287505806,,0.06238814,,0,,2.245973,,0,0,,0,,6.453481188739,,,,,,31112484740.671654,31112484740.671654,25145690139.52692,36,48,4821039037.807937,,113938314.34929292,,749991.5,,5469039088.76606,,,,
2017-09-29,4747,4320,3556882,823.352314814815,,0.03926251,,0,,97.645858,,0,0,,0,,5.760642975315,,,,,,31112484643.025796,31112484643.025796,25145690041.881062,2487,3035,5400870141.813676,,2345286.61214637,,825277,,7117944867.86424,,,,
2017-09-30,4976,4319,3489211,807.874739523038,,0.05781594,,0,,146.158702,,0,0,,0,,5.32121637382,,,,,,31112484496.867094,31112484496.867094,25145689895.72236,2528,3351,5846874532.285358,,2720713.2797026,,791085,,9117110200.283407,,,,
2017-10-01,5973,4316,3869136,896.463392029657,,0.09404741,,0.17107,,291.170785,,0,0,,0,,4.548631577015,,,,,,31112484205.696309,31112484205.696309,25145689604.551575,3096,4757,6839965752.098607,,4228024.03408753,,833347,,20112710330.154371,,,,
2017-10-02,5858,4314,3706416,859.159944367177,,0.10739878,,0.17107,,316.074603,,0,0,,0,,3.563601925636,,,,,,31112483889.621706,31112483889.621706,25145689288.476972,2943,4735,8730628319.007109,,8798568.94591527,,983735,,41661223958.908822,,,,
2017-10-03,3701,4320,3469263,803.070138888889,,0.10081913,,0.17107,,182.280983,,0,0,,0,,4.448565108246,,,,,,31112483707.340723,31112483707.340723,25145689106.195989,1808,2826,6993824514.261467,,8306338.37602407,,817787.1536625,,23473712250.644016,,,,
2017-10-04,1769,4319,3130826,724.896040750174,,0.06978899,,0,,59.948744,,0,0,,0,,9.929309416306,,,,,,31112483647.391979,31112483647.391979,25145689046.247245,859,1194,3133398541.926714,,8344874.6490089,,770521.657508,,9963780330.916623,,,,
2017-10-05,2454,4320,3157743,730.959027777778,,0.13143775,,0.17107,,156.805239,,0,0,,0,,5.021386950102,,,,,,31112483490.58674,31112483490.58674,25145683238.642006,1193,2075,6195994015.150815,,9030554.91667272,,1800401.657684,,18738401452.09589,,,,
2017-10-06,1844,4320,3177892,735.623148148148,,0.1287957,,0.17107,,114.499377,,0,0,,0,,5.776573707292,,,,,,31112483376.087363,31112483376.087363,25145683124.142629,889,1537,5385975312.114793,,9513442.68397571,,3146000.486262,,14622161405.270668,,,,
2017-10-07,1371,4320,2966675,686.730324074074,,0.12204346,,0.17107,,81.891164,,0,0,,0,,7.888890773758,,,,,,31112483294.196199,31112483294.196199,25145683042.251465,671,1131,3943834968.243019,,8895815.32211905,,1964761,,10061167129.31665,,,,
2017-10-08,1406,4319,3118225,721.978467237787,,0.13399351,,0.17107,,90.981593,,0,0,,0,,7.787399698713,,,,,,31112483203.214606,31112483203.214606,25145682951.269872,679,1200,3995233891.533191,,8526550.06596314,,2604037.829062,,10231860079.155764,,,,
2017-10-09,1460,4319,3124999,723.546885853207,,0.12917068,,0.17107,,87.836065,,0,0,,0,,8.885610336444,,,,,,31112483115.378541,31112483115.378541,25145682863.433807,680,1172,3501445813.775208,,6875748.46366447,,1497190.2354405,,8058377199.414759,,,,
2017-10-10,1376,4319,2973712,688.518638573744,,0.12202512,,0.17107,,80.536581,,0,0,,0,,8.308371083165,,,,,,31112483034.84196,31112483034.84196,25145682782.897226,660,1120,3744715146.135698,,8559530.39180188,,2095835.6065215,,9586674038.8181,,,,
2017-10-11,1172,4319,3061365,708.813382727483,,0.1266539,,0.17107,,70.54622,,0,0,,0,,8.971443695045,,,,,,31112482964.29574,31112482964.29574,25145682712.351006,557,956,3467946076.66978,,7179457.53483871,,1990037,,6863561403.305807,,,,
2017-10-12,1411,4320,2980765,689.991898148148,,0.12834358,,0.17107,,86.246889,,0,0,,0,,8.415207689975,,,,,,31112482878.048851,31112482878.048851,25145682626.104117,672,1164,3697173501.149873,,7317206.77937862,,2047767,,8517228691.196718,,,,
2017-10-13,1642,4320,3169689,733.724305555556,,0.14112688,,0.17107,,110.361223,,0,0,,0,,7.256285320138,,,,,,31112482767.687628,31112482767.687628,25145682515.742894,782,1407,4287659786.66004,,6634265.37255068,,4102862.729481,,9334411379.178805,,,,
2017-10-14,1944,4320,3223179,746.10625,,0.15292509,,0.171246,,142.220331,,0,0,,0,,8.069889144415,,,,,,31112482625.467297,31112482625.467297,25145682373.522563,930,1742,3855379184.111926,,6423788.43412443,,20641898.743285,,11190239452.244754,,,,
2017-10-15,1450,4320,3009238,696.58287037037,,0.14396813,,0.171246,,104.520862,,0,0,,0,,9.462128741866,,,,,,31112482520.946435,31112482520.946435,25145682269.001701,726,1319,3288106024.523578,,6459507.85687065,,20168760.759777002,,8520090863.212384,,,,
2017-10-16,1311,4320,3098095,717.15162037037,,0.14874264,,0.171246,,93.112895,,0,0,,0,,8.737798890245,,,,,,31112482427.83354,31112482427.83354,25145682175.888806,626,1166,3560677330.59962,,6583640.44907023,,19023905.251643002,,7676524763.615894,,,,
2017-10-17,1343,4320,2988840,691.861111111111,,0.1559581,,0.171246,,104.33597,,0,0,,0,,7.751403652703,,,,,,31112482323.49757,31112482323.49757,25145682071.552836,669,1272,4013786885.249716,,8295634.09229178,,17754527.906924,,10552046565.395145,,,,
2017-10-18,1042,4320,3080691,713.122916666667,,0.15674783,,0.171246,,78.68741,,0,0,,0,,3.819369533533,,,,,,31112482244.81016,31112482244.81016,25165681993.729258,502,951,8145973300.476036,,17942748.29462995,,16393856.88263,,17063553628.193078,,,,
2017-10-19,1124,4318,3078041,712.839509031959,,0.15448482,,0.171246,,82.803862,,0,0,,0,,5.828138347742,,,,,,31112482162.006298,31112482162.006298,25169912680.326642,536,1006,5338322514.951993,,7698664.40725631,,15519071.457404,,7744856393.699848,,,,
2017-10-20,1477,4320,3014858,697.883796296296,,0.1588578,,0.171246,,111.994747,,0,0,,0,,8.766864529479,,,,,,31112482050.011551,31112482050.011551,25169912568.331895,705,1332,3548872227.395905,,5269140.05107458,,14636408.275236,,7018494548.031338,,,,
2017-10-21,1204,4320,3079218,712.781944444444,,0.14620581,,0.17107,,84.506958,,0,0,,0,,14.028511748859,,,,,,31112481965.504593,31112481965.504593,25169912483.824937,578,1064,2217803465.006596,,4718279.84317586,,14060008.9260855,,5020249753.139116,,,,
2017-10-22,1118,4320,2940786,680.7375,,0.14667675,,0.171246,,75.831882,,0,0,,0,,13.715086157921,,,,,,31112481889.672711,31112481889.672711,25169912407.993055,517,952,2268486069.385966,,4741018.24479923,,13588036.576438,,4513449369.048864,,,,
2017-10-23,657,4320,3006959,696.055324074074,,0.14273274,,0.171246,,42.534358,,0,0,,0,,22.405415289476,,,,,,31112481847.138353,31112481847.138353,25169912365.458697,298,536,1388614379.388528,,4413523.40856757,,7026162.538965,,2365648546.992215,,,,
2017-10-24,1556,4320,3155727,730.492361111111,,0.15918441,,0.171246,,113.657667,,0,0,,0,,10.996194486045,,,,,,31112481733.480686,31112481733.480686,25169912251.80103,714,1360,2829386272.947736,,3826327.77062947,,7921343.964825,,5203805768.056081,,,,
2017-10-25,941,4320,2913460,674.412037037037,,0.15597335,,0.171246,,69.408139,,0,0,,0,,15.355239829882,,,,,,31112481664.072547,31112481664.072547,25169912182.392891,445,842,2026180118.888573,,5264006.96580939,,12203597.470204,,4432293865.211508,,,,
2017-10-26,910,4320,3028777,701.105787037037,,0.15569065,,0.171246,,66.791287,,0,0,,0,,12.122580725612,,,,,,31112481597.28126,31112481597.28126,25169912115.601604,429,808,2566489949.747015,,5167860.14227755,,11796801.466058,,4175630994.960258,,,,
2017-10-27,960,4320,2916947,675.219212962963,,0.15562289,,0.171246,,70.030302,,0,0,,0,,16.743700288322,,,,,,31112481527.250958,31112481527.250958,25169912045.571302,450,849,1858160441.927546,,3775073.90207359,,11241581.294889,,3205037742.860476,,,,
2017-10-28,791,4320,3033641,702.231712962963,,0.15832532,,0.171246,,58.897018,,0,0,,0,,18.569506677808,,,,,,31112481468.35394,31112481468.35394,25169911986.674284,372,710,1675460851.39332,,4478549.26197491,,11008860.470027499,,3179769976.002185,,,,
