date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-05-15,8,,226666.666666666678,,1,,,,,,226666.666666666678,7,7,226666.6666666667,,32380.95238095,,26666.666666666668,,226666.666666666678,,,,
2017-05-16,0,,0,,,,,,,,226666.666666666678,0,0,0,,,,,,0,,,,
2017-05-17,2945,,39382857.142857142862,,8.8120925,,,,,,39609523.80952380954,1466,1466,4494905.586093226,,4688.9951447,,595,,6874066.882127343014894935,,,,
2017-05-18,911,,0,,7.85700003,,,,,,39609523.80952380954,1304,1303,5041303.762419662,,5885.61871625,,677.50627075,,7668961.187273893089659584,,,,
2017-05-19,477,,0,,26.5596112,,,,,,39609523.80952380954,667,667,1491344.2637151603,,3867.24826551,,399.99,,2579454.593092512773901056,,,,
2017-05-20,476,,0,,5.59897009,,,,,,39609523.80952380954,610,609,7074430.32234467,,12511.50425378,,100,,7619506.090550679502214301,,,,
2017-05-21,311,,0,,31.65056639,,,,,,39609523.80952380954,420,420,1251463.3487822667,,4268.73428769,,355.619619605,,1792868.40083062152429,,,,
2017-05-22,327,,0,,28.6397325,,,,,,39609523.80952380954,478,478,1383027.0169575068,,3590.95086478,,370,,1716474.513364936668,,,,
2017-05-23,359,,0,,27.81947099,,,,,,39609523.80952380954,541,541,1423805.7880116594,,3301.47053407,,299.95,,1786095.558931431146574943,,,,
2017-05-24,587,,0,,37.95681915,,,,,,39609523.80952380954,824,824,1043541.7060043148,,1969.94461095,,319.02054968,,1623234.35941897107467,,,,
2017-05-25,353,,0,,91.00801971,,,,,,39609523.80952380954,460,460,435231.1360691901,,1481.52789196,,242.16653652,,681502.830303648905384614,,,,
2017-05-26,335,,0,,70.70208348,,,,,,39609523.80952380954,445,445,560231.3518807784,,2011.64201216,,200,,895180.695413368603534852,,,,
2017-05-27,216,,0,,129.93638887,,,,,,39609523.80952380954,287,287,304837.80683082,,1576.34946699,,221,,452412.29702649,,,,
2017-05-28,215,,0,,176.38272181,,,,,,39609523.80952380954,307,307,224565.78174925997,,1071.59429173,,276,,328979.44756054,,,,
2017-05-29,241,,0,,197.52506606,,,,,,39609523.80952380954,306,306,200529.10042835,,907.04741869,,202.020808,,277556.51011783234,,,,
2017-05-30,338,,0,,52.1013108,,,,,,39609523.80952380954,463,462,760240.447017855,,1855.59209033,,370.90961825,,857283.545731495314279701,,,,
2017-05-31,297,,0,,72.54568755,,,,,,39609523.80952380954,378,377,545994.1885718276,,1696.26173452,,336.62626558,,639490.673913577562323328,,,,
2017-06-01,205,,0,,62.98990245,,,,,,39609523.80952380954,245,245,628823.3871084398,,2973.22744442,,199.54636004,,728440.7238818,,,,
2017-06-02,210,,0,,144.21636898,,,,,,39609523.80952380954,272,272,274653.45362928783,,1496.82051085,,210.11789506,,407135.178950757812601502,,,,
2017-06-03,240,,0,,111.81426898,,,,,,39609523.80952380954,306,306,354243.9097464158,,1429.32691015,,200,,437374.034505868674002006,,,,
