date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-09-05,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2019-09-06,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2019-09-07,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2019-09-08,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2019-09-09,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2019-09-10,8,,31,,0.65853659,,,,,,27,27,27,8,8,41,,5.125,,2.5,,41,,,,
2019-09-11,5,,6000066.3,,1.00000433,,,,,,6000093.3,6000093.3,6000093.3,3,3,6000067.3,,2000022.43333333,,83.3,,6000067.3,,,,
2019-09-12,12,,51.55,,43748.77761575,,,,,,6000144.85,6000144.85,6000144.85,19,19,137.15,,7.27105263,,10,,138.15,,,,
2019-09-13,5,,3.75,,480011.888,,,,,,6000148.6,6000148.6,6000148.6,3,3,12.5,,4.16666667,,3.75,,12.5,,,,
2019-09-14,0,,0,,,,,,,,6000148.6,6000148.6,6000148.6,0,0,0,,,,,,0,,,,
2019-09-15,0,,0,,,,,,,,6000148.6,6000148.6,6000148.6,0,0,0,,,,,,0,,,,
2019-09-16,4,,25,,133337.19111111,,,,,,6000173.6,6000173.6,6000173.6,2,2,45,,22.5,,22.5,,45,,,,
2019-09-17,6,,14,,200006.25333333,,,,,,6000187.6,6000187.6,6000187.6,5,5,30,,6,,3,,30,,,,
2019-09-18,8,,2011097.87,,1.99176818,,,,,,8011285.47,8011285.47,8011285.47,9,9,4022197.74,,446910.86,,1085,,4022197.74,,,,
2019-09-19,7,,0,,2.56221914,,,,,,8011285.47,8011285.47,8011285.47,6,6,3126698,,521116.33333333,,375203,,3126698,,,,
2019-09-20,12,8091626.01116335204052268,81084.36,81076.90704424135984656,36.95313786,,0.00009831816939434064,0.999908083929396,,,8092369.83,8092369.83,8092369.82065,11,11,218990.0587,218969.9299943029566955452,27635.45988182,27632.91973893832862338398072,10000,9999.08083929396,303990.0587,303962.1171283016166955452,,,
2019-09-21,3,8082282.44786756681088585,0,0,129.36368106,,0.00010001130127704432,0.998753469954495,,,8092369.83,8092369.83,8092369.82065,2,2,62555.19141,62477.21448440511871488795,31277.595705,31238.607242202559357443975,31277.595705,31238.607242202559357443975,62555.19141,62477.21448440511871488795,,,
2019-09-22,2,8121637.8288690871843782,0,0,49788.16895949,,0.000099892046791813,1.00361674014954,,,8092369.83,8092369.83,8092369.82065,1,1,162.536,163.12385047694563344,162.536,163.12385047694563344,162.536,163.12385047694563344,162.536,163.12385047694563344,,,
2019-09-23,22,8298709.09690723421969398,219620.6,219269.6787174025805116,2.2872444,,0.00010300513990371197,0.998402147691986,,,8311990.43,8311990.43,8311657.610116,36,36,3634063.0836580405,3628256.387572349026021146313,100946.36343495,100785.0660551498450855473107,60151.24,60055.12720233609596264,3634069.08365806,3628262.377985254646779026307,,,
2019-09-24,26,8539042.7799871344490119,1657995.35,1664150.2487240622539405,0.51550061,,0.00011652548888286092,1.00371225330883,,,8507460.93,8507460.93,8507460.90910901,50,50,16503299.532013979,16564563.96030831048405656413,330065.99064028,331291.2792061666312402776724,70121.145,70381.45245254519821035,16503299.53201398,16564563.96030831148776881744,,,
2019-09-25,16,16691469.5451612988120513,8260306.56,8260159.1151169391729472,0.73604206,,0.0001187041116946617,0.99998215019237,,,16691767.49,16691767.49,16691767.132813,37,36,22677735.99038403,22677331.19715911771753467585,1082159.27195511,1082139.955620280580432504511,429996.71,429989.0346414449671027,38957733.79038403,38957038.40233017089432067585,,,
2019-09-26,13,18098186.44803434077224,1407829.78,1409273.07692874064796,8.02650798,,0.0001237101936940203,1.001025192782,,,18079651.32,18079651.32,18079651.309853,15,15,2252492.7859199997,2254802.025265631954921882165,150166.85239467,150320.80236784067509927194,35799.548,35836.249438208462536,2252502.78592,2254812.03551756007522944,,,
2019-09-27,19,17763246.0435894945579664,6071.6,6071.654171267169904,17.12047637,,0.00012214924135456074,1.00000892207444,,,17763087.56,17763087.56,17763087.541817,22,22,1037534.655942,1037543.91290343439431232248,47160.66617918,47161.0869501542906343381592,17664.291,17664.44860211923182204,1037534.655942,1037543.91290343439431232248,,,
2019-09-28,6,17750839.2520451574656954,0,0,862.05407245,,0.00012183772492689509,0.999310462895965,,,17763087.56,17763087.56,17763087.541817,8,8,20605.53755,20591.32926731068855098575,2575.69219375,2573.91615841383606887321875,126.587235,126.499948404570302006775,20605.53755,20591.32926731068855098575,,,
2019-09-29,5,17764206.7013948375560268,0,0,59.20872876,,0.0001240079365079367,1.00006300376503,,,17763087.56,17763087.56,17763087.541817,3,3,300007.92,300026.8216284988190376,100002.64,100008.9405428329396792,149998.96,150008.4104992305843688,300007.92,300026.8216284988190376,,,
2019-09-30,16,19273541.6496396752351478,1494860.66,1496071.0695543584592834,3.29143202,,0.00012083621756494656,1.00080971396649,,,19257948.22,19257948.22,19257948.218857,16,16,5850933.005233999,5855670.587405334277260894694,365695.81282712,365991.9218342530319558432088,132579.14148,132686.4926625216096890052,5851133.005234,5855870.74934812857607060866,,,
2019-10-01,13,19754709.2220577324054005,452027.93,453053.8367697957422291,17.98005029,,0.00012054403394421448,1.00226956500187,,,19709976.15,19709976.15,19709976.148857,21,21,1096213.62721089,1098701.555293780803045734364,64110.12177195,64255.6238605892416294635465,1000,1002.26956500187,1346312.55721089,1349368.101072313938044834364,,,
2019-10-02,9,20289583.7882087768819024,570641.93,570894.2008635354018179,25.36710458,,0.0001196338901004488,1.00044208259203,,,20280618.08,20280618.08,20280618.078857,8,8,799484.94,799838.3783745641490282,99935.6175,99979.797296820518628525,62683.6,62711.311328365771708,799484.94,799838.3783745641490282,,,
2019-10-03,20,20674085.9225378201041824,351110,351830.8442276762508,9.49865354,,0.00012139711409334418,1.00205304385428,,,20631728.08,20631728.08,20631728.078857,19,19,2172068.70378911,2176528.056092498158034690891,114321.07946258,114555.7856521853053942328424,1215,1217.4944482829502,2172100.50978911,2176559.927391610987264370891,,,
2019-10-04,7,20789319.8294440928706528,148710.8,148774.354629631123848,54.4973782,,0.00012251602034510093,1.00042737063906,,,20780438.88,20780438.88,20780438.878857,9,9,381310.8,381473.761040276479848,42367.86666667,42385.9734489229436299021302,19400,19408.290990397764,381310.8,381473.761040276479848,,,
2019-10-05,14,20789883.6008204044987008,0,0,2038.70563567,,0.00012288129578357778,1.00045450054616,,,20780438.88,20780438.88,20780438.878857,15,15,10192.957,10197.58970452348539512,1226.39426667,1226.9516635340090076844872,975,975.443138032506,18395.914,18404.27495296011239024,,,
