date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-11-13,7,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2019-11-14,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2019-11-15,2,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2019-11-16,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2019-11-17,2,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2019-11-18,1035,,2339158.725768283134932899,,0.61287267,,,,,,1480819.801806663525671238,979,1059,2416194.851827709,,2595.14441349,,75,,2748257.933889887844826727,,,,
2019-11-19,1724,,10004706.045026583677248419,,0.10329769,,,,,,6941473.363900581694527354,3466,4122,67198729.85714899,,19550.10980646,,2741.2091967605024,,80585552.622217570296149297,,,,
2019-11-20,1140,9091745.148255568278541149207,4218249.919156176523727286,4229719.738694904127261222402,0.30990513,,0.00012415183658817606,1.00271909435395,,,9067090.872656975119059828,2299,2764,29257634.22611682,29337188.49415098852289512844,16181.32247625,16225.3210188346156079686875,2462.342176408194,2469.037517117558475195916266,44725175.324362628637668998,44846787.29606652692108006435,,,
2019-11-21,1309,12680509.1550945958817858499,6856174.632627747138019579,6872485.582125719218349718786,0.17345686,,0.00013167925336779546,1.00237901605078,,,12650413.618048253195138075,4069,5198,72931182.8897593,73104687.34445640907799077725,18174.54787147,18217.7854125718966144332466,3103.443374466556,3110.826516067098782744307714,94471299.835917922832986127,94696048.57456562155176047845,,,
2019-11-22,1525,14710432.8005340884504497628,4083059.907166892517544639,4096329.634624675978241849275,0.11809092,,0.00013785593962012654,1.00324994679468,,,14662779.547143749160915049,7876,10221,124165175.9543711,124568706.1699748865663802257,15169.84916027,15219.1503629241985761033636,3333,3343.83207266666844,155051028.267096479962400952,155554935.8594249682423650678,,,
2019-11-23,1029,15004340.38493439841347274522,4652530.920780375482023689,4668658.65698572985950366475,0.20568824,,0.00013699506981129045,1.0034664436368,,,14952508.357484397803053072,4585,5634,72695007.94595876,72947001.09368015418187721837,19151.95945762,19218.348645614118428272416,5000,5017.332218184,107902139.58425083372390881,108276176.2694097654239661485,,,
2019-11-24,927,14937694.75914054635965873687,1019101.826307620339129752,1020881.436502523333660064007,0.19011394,,0.00014427356113479623,1.00174625356266,,,14911655.228073365630079354,4673,5395,78435359.52938645,78572327.55540315906927642996,16265.10878975,16293.511793921153418390735,10000,10017.4625356266,87750261.920696327019994096,87903496.12819969111544073711,,,
2019-11-25,1238,16654508.64783601979343319163,4438853.695056994598148192,4446835.510016236607192153598,0.16139583,,0.00014032664234278923,1.00179817031774,,,16624614.759032465291784488,6995,8365,103005233.8156573,103190454.7696764834797279505,16782.06892102,16812.2459392240451123648948,8182.53722664,8197.2508222047466271925936,140382006.524329614960777158,140634437.2816064474975516705,,,
2019-11-26,998,16741658.35563444807716627873,735689.915487752500369881,738098.1485985103366658432476,0.30624355,,0.00014001565190505246,1.00327343498947,,,16687034.43325015632428103,4053,4566,54489423.48269873,54667791.06808304428796473237,20894.81258621,20963.2103968281179548172087,10000,10032.7343498947,95405714.268649487534123723,95718018.67193186199810110819,,,
2019-11-27,1004,16213478.77480635016752969656,766908.523549361396416788,769283.733079562434717249886,0.30612977,,0.00013326893468534618,1.00309712235197,,,16163418.689498853622856656,4419,5188,52799237.72507623,52962763.42440154124570514067,19062.07133539,19121.1089025976829954972183,8899.122485435846,8926.684156598408179434066717,98894026.088022869639152393,99200312.98669638956741635336,,,
2019-11-28,1066,18270020.71651966077150911121,3869008.021434817139701058,3877170.415153110058218641935,0.43229742,,0.00013475852018941096,1.00210968642946,,,18231557.846343315295346333,3612,4492,42173645.242267884,42262618.40931635684886878946,14575.70915855,14606.459334361548770530883,1500,1503.16452964419,65474085.540212202526510407,65612215.32995769142330928313,,,
2019-11-29,927,19423168.99985028022295793404,1736780.567538303649351574,1738454.756280433894168790348,0.55391784,,0.00012919434750747463,1.00096396100545,,,19404463.853363973305885186,3324,4237,35031302.99173021,35065071.80178434184626673964,15067.11079057,15081.6348978369044015786065,1500.9757487670706,1502.422630859008171973427135,63839348.41965209109306449,63900887.06214197179133375544,,,
2019-11-30,794,20163182.85686575751771301443,1034090.317714564450563598,1036126.789383909258533063956,0.53899767,,0.000132602388627711,1.00196933636691,,,20123552.81248070525312535,3313,4201,37335138.551906504,37408663.99802039703304135938,16942.95223146,16976.3186034522331138049886,1858.295670314304,1861.955279558325354577165281,71177342.324342522443762686,71317514.45308185252176651074,,,
2019-12-01,878,21923399.83960676212696875731,3956468.497833083542056815,3961651.569909045839145037167,0.5736232,,0.0001349887906424821,1.00131002485646,,,21894717.215828863629053182,3835,4752,38169162.79071208,38219165.34271818096562318804,14210.19371892,14228.8094259068969665862232,1796.458597874451,1798.812003291267810532376303,67526840.552309001365305065,67615302.39191073727194021471,,,
2019-12-02,1371,38904400.07051313021345374012,31580909.195859504371806693,31574833.22427582968870627325,0.45829396,,0.00013661723289450783,0.99980760618556,,,38911886.476779454065107947,4823,5666,84905955.60886203,84889620.22819376772138061829,21689.41374969,21685.2408406457297575324764,2947.243120191,2946.67608884502440612864196,122892218.305748292398459475,122868574.6031034562903064189,,,
2019-12-03,1823,45103732.82804247015322560493,12455776.057474488031379401,12431271.68555616802716254608,1.13941359,,0.0001365961861896539,0.998032690070434,,,45192640.758950863316921673,3872,4979,39663069.71413113,39585040.16324545133888481201,12576.33438604,12551.59283852480118374634136,401.75441056062493,400.9640351194820771223887563,62617568.908102920682585356,62494380.74302472657417062012,,,
2019-12-04,1671,45728316.44369465332001175835,2088092.009731417032776939,2083586.491605433967790959909,0.8538597,,0.0001383006883137796,0.997842279887579,,,45827198.7120515607200161,4650,5615,53670642.27864117,53554836.05434999309906048103,15677.60552209,15643.77763734038387480112011,1848.9653866838366,1844.975836881818614355064406,88029755.006562683168683108,87839811.43369352964836359368,,,
2019-12-05,1643,44744517.15590661089703121993,3299262.252459457039600948,3297484.076548290812126562808,2.11181841,,0.0001349877528452381,0.999461038324601,,,44768645.740220104228925464,2765,3568,21199098.12072415,21187672.61928405671975287981,7278.81568008,7274.89267738614357160964808,190.22299464053714,190.1204717366462611052643162,25970814.346512917427457299,25956817.07290124444014720127,,,
2019-12-06,1513,45409936.21017183826583174054,3762788.871721048535442739,3739925.889591398780745163287,3.73008342,,0.00013192148125508134,0.993923926398987,,,45687537.047924032891921423,2594,3259,12248395.51559921,12173973.362952111627280842,5428.51143324,5395.52739822769319145412788,114.3,113.6055047874042141,17691518.760938083638636965,17584023.79083292152890082072,,,
2019-12-07,1534,44596437.55211313247493441621,1119143.848297350237268855,1112062.729017556251104073098,7.1912246,,0.00013227697194124856,0.99367273537663,,,44880407.768468986418446856,2311,3160,6240996.532242226,6201508.095669194915846499578,2673.00448689,2656.0916801619916240473807,100,99.367273537663,8446694.178577088316259845,8393249.709316552184031953924,,,
2019-12-08,1460,45249743.86259780762567341864,2663592.670008265761556096,2648400.310287642525947896675,5.43598795,,0.00013206324589891657,0.994296290160396,,,45509315.794890771853766163,2529,3689,8371857.378779347,8324106.733472241886849322141,2915.53314892,2898.90379381081336175417232,136.4067506660081,135.6287261400459801197740352,10755401.786356157982317851,10694056.09535842392539690717,,,
2019-12-09,1710,44946776.67924648705171486709,3082232.085084337491290725,3076272.339547852925350079414,2.58196417,,0.00013597213771885194,0.998066418954846,,,45033853.284347347291038641,2576,3481,17441703.41244321,17407978.4653297119696795293,6158.12721433,6146.21997627472450803414318,156.42243428607847,156.1199788321060615081453428,21436440.833066278932001233,21394991.73739589675394134036,,,
2019-12-10,1759,44636770.22609476650796590322,2494208.573645713613718025,2486633.651998321897249443183,3.85570752,,0.00013785264702345588,0.996962995906826,,,44772745.236641082185807325,3309,4349,11612069.896148587,11576803.99234376115618290355,3476.44368084,3465.88570715160003312141384,200,199.3925991813652,15119053.56798679622006914,15073136.94041590335085800339,,,
2019-12-11,1677,45669671.55389995279330511729,3833914.238136115574703896,3840290.864238009005127791583,4.08720184,,0.00013911091751745986,1.00166321563442,,,45593839.167762898579132687,2898,4281,11155269.781855818,11173823.40096317357933983806,3447.7559961,3453.490357776378820545762,106.4504042906736,106.6274542673801781817131453,14759843.419318948027149672,14784392.22165555045337697475,,,
2019-12-12,1624,46161832.21165645459846725276,1767729.630085706699320679,1770291.20699474005607185468,4.21523381,,0.0001392284300615444,1.00144907731671,,,46095036.939214928698215269,3051,4381,10935345.22239211,10951191.38310427147696627516,3057.24746802,3061.6776559774768631366142,160,160.2318523706736,13393801.157410128821203894,13413209.81085185598300909957,,,
2019-12-13,1577,46460034.99321017972587471572,1569187.595690719488625423,1567812.061438251717605108604,4.94620994,,0.0001379070652344188,0.999123409937572,,,46500797.129869203534224256,3018,4503,9401298.707267122,9393057.622246414437828748108,2639.06656713,2636.75318760316786564720836,180.26765180413082,180.1096309719820879976679212,11883716.751808381200739222,11873299.60379903682248057238,,,
2019-12-14,1297,46321788.92923600009468276565,909694.417759056250023052,909053.3978579698529981709716,7.99081661,,0.0001413209180880931,0.999295345900148,,,46354452.784436949548361415,2708,4300,5800965.66479585,5796877.990557050921552904786,1704.23575323,1703.03485651937211914847804,100,99.9295345900148,7328213.738894993569403738,7323049.883039289458348940481,,,
2019-12-15,1369,46155789.53322229058450501188,784359.089622726129178494,778634.9435630634186639264778,5.9386496,,0.00013959529153431905,0.992702135877056,,,46495104.488158958399478277,3316,5010,7829238.561533039,7772101.842324857344162186053,2212.80112107,2196.65239915733298449116992,100.90680208944539,100.170397958715815832268266,11086133.616574826841580957,11005228.51979226199811137412,,,
2019-12-16,1970,48917392.37812065225766527002,4530709.458710607558617954,4521160.173624494752101043622,2.80997972,,0.00014499199839917052,0.997892320138129,,,49020712.346347620234191821,5061,7808,17445219.261584524,17408450.32426095822183908872,2958.05684479,2951.82220794796644671399791,200,199.5784640276258,23096507.844157631215414963,23047827.79969495459126050663,,,
2019-12-17,2388,47833199.82569686002864923987,4255930.804911606713449642,4255234.524918390990139706233,1.33988333,,0.00015128493714566742,0.999836397717648,,,47841026.726859437264686833,6334,9499,35705367.5901861,35699526.11055612842384357429,4749.73815229,4748.96108428771098464461392,509.548947272,509.465583901256241895856256,45117762.708624811823188826,45110381.33967106485041929579,,,
2019-12-18,2490,47588573.47912264634117684399,2543847.118651018388217114,2520233.6655501205775239555,1.58366862,,0.00013600114743882264,0.990717424436489,,,48034456.955463957055774298,6745,9759,30331128.822409537,30049577.8271889340582374044,4231.5215476,4192.2421290857779911903764,500,495.3587122182445,41295418.783001636840854021,40912090.93772159268792799511,,,
2019-12-19,2196,49427700.73577785153864388265,4612243.38527105779724337,4613081.305216644071871832693,2.11988166,,0.00013996056679389815,1.00018167296814,,,49418722.689745117978720614,4641,6760,23312019.521312732,23316254.68509250650601161236,4260.6116421,4261.385680063112146382694,486.15760915881077,486.2459308546504972012184989,28801734.70058281156156996,28806967.19721344727513421672,,,
2019-12-20,1891,43708471.17652344411321536076,3332263.389381579343369868,3322796.52951396894100093035,3.50497623,,0.0001387985258041344,0.99715903013616,,-0.554498687528456,43832999.406880107091819211,3623,5231,12505933.425030163,12470404.44505046295297399699,2964.86215189,2956.4390678660406973013424,124.54628722600444,124.1924549773422006347859646,15509193.916544194284496018,15465132.76401484156853625084,,0.0034720535852476252,
2019-12-21,1487,43858793.8539022409377752906,1562359.188798660672718489,1558963.013586798086722860932,7.65272226,,0.00013974574315969964,0.997826251968042,,-0.45419586901122133,43954339.512914452485189787,2815,4286,5743621.425744129,5731136.239973605897550577125,1926.26475652,1922.07754229648459395113384,58.4132983296534,58.28632253736914039303773664,8255970.746454375844053516,8238024.346292367824356067414,,0.00347538989291178,
2019-12-22,1527,43721760.00082162014775168949,1399336.880658732769186841,1387305.059544076028294845863,5.09406978,,0.00013255093326785668,0.99140176945169,,-1.180979613389885,44100950.137503397959079877,3359,5158,8657311.744684324,8582874.182374936302125618308,2227.73978303,2208.5851627738659626668207,100,99.140176945169,11490681.800848071076352452,11391882.2695671094279586202,,0.003654124567655388,
2019-12-23,1848,43473932.96568356730247539681,2877830.045433582071118356,2851014.262002372486214897011,2.70108644,,0.00013530673896388143,0.990681943336522,,-1.2740336641396632,43882835.715434078182089254,4187,5877,16246364.83503218,16094980.28692381373694043928,3257.80400468,3227.44760236588621250292296,217.80712672,215.77758757151370685806784,19146114.135526817603583703,18967709.55912656161324066236,,0.003652733638557632,
2019-12-24,1670,43604946.73574404663076529753,1408496.790304000241002128,1400249.498884493031035672543,4.56542632,,0.0001373957403249484,0.994144614686891,,-0.7588387626840818,43861774.324933161688826122,3033,4295,9607377.549035752,9551122.651637634916274444727,2743.55138123,2727.48683076658594702445593,102.12581002054687,101.5278240524631999158816401,11783553.182388070937547846,11714555.9381476770094168459,,0.0037125511319608096,
2019-12-25,1384,43113290.74135699296911475208,861845.79940157751462335,859416.147540105037797155838,5.37490523,,0.00013866732345369678,0.997180874045961,,-0.46090084895190275,43235176.148564860097939025,2945,4103,8043895.5282243965,8021218.773569200852365262488,2401.28843791,2394.51890335155415123478151,110.29727,109.98632810348335282647,9852486.460742348023352727,9824711.060449051420961223778,,0.003761086962233463,
2019-12-26,1208,42282173.66345562536340650301,1332554.337505936995487253,1323187.365532959334904699764,3.96391592,,0.00013801534163032148,0.992970664152796,,-1.0269155423996863,42581493.280600426193561626,2894,4082,10742279.628592413,10666768.53731845908010263834,3345.59227084,3322.07497916045575437526864,292.24110390418787,290.1868430364876933667899698,13656707.6495561939889074,13560710.06492038355249977783,,0.0038197472820627612,
2019-12-27,1639,42115300.22807574618488145065,1862233.371983614287144131,1859082.845329899041515900256,4.05231866,,0.00013794216482658557,0.998308199873811,,-0.47741363936229425,42186671.644487383849023447,3134,4472,10410502.036557596,10392889.54789845701759603352,2855.3688555,2850.5381421099489594933105,150,149.74622998107165,12769209.521790437331451033,12747606.57151013848922847065,,0.003959364615112092,
2019-12-28,1533,42365592.71656551516735178356,799110.800054559915600414,796603.2823294018127406704922,5.26300406,,0.0001364322949708519,0.996862115084683,,-0.5236523921322689,42498949.529210041876623719,3252,4789,8075036.440197694,8049697.905161362569828071321,2139.93287434,2133.21801125381756469773422,150,149.52931726270245,10248138.535231389713326496,10215981.05591160827959489426,,0.003963611824249164,
2019-12-29,1594,42776860.78157686643991871753,1197370.750112466986295151,1194894.967871750764397937384,3.26210316,,0.00013500936435525818,0.997932317754978,,-0.3028723678949104,42865493.000377862565482424,4038,5920,13140446.80582691,13113276.53727484564582005886,2777.32687251,2771.58424304708859322385478,224.77024493502307,224.3054914903616766741070373,16441775.085255280429750139,16407778.71883485300606117305,,0.003965589698113436,
2019-12-30,1636,42222678.83674265520044834416,1181567.226397081276575623,1174111.125726685380512966127,3.92901543,,0.0001374512477215026,0.99368965175758,,-0.8263411173191944,42490810.649040831027984603,3533,5029,10814620.44676071,10746376.42563205415846918868,2729.78342401,2712.5575399781112468714958,172.25,171.163042515243155,13728080.839349727977677257,13641451.86855333774335761622,,0.004030944837193784,
