date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-05-26,90,,60949422.8,,0.999999973747,,,,,,60949421.19992512,382,90,60949422.8,,677215.80888889,,18375.25,,60949422.8,,,,
2020-05-27,211,,40083194.2,,2.520572926445,,,,,,101032614.1059768,628,201,40083194.2,,199418.87661692,,9176.1,,40083194.2,,,,
2020-05-28,101,,15324811.911,,7.59282695634,,,,,,116357240.4128607058,320,90,15324626.9251138916,,215829.188056821,,14229.2,,19424626.9251138916,,,,
2020-05-29,126,,12029662.4,,10.672527307581,,,,,,128386901.2943761175,576,100,12029662.477712644,,120296.6247771264,,1380.9499999999998,,12029662.477712644,,,,
2020-05-30,32,,5350558,,24.995048734527,,,,,,133737458.0730024909,106,23,5350558.0042443991,,232632.9567062782,,18352.3,,5350558.0042443991,,,,
2020-05-31,25,,5156849.2,,26.933947807192,,,,,,138894307.2023618742,76,20,5156849.2,,257842.46,,21563.949999999997,,5156849.2,,,,
2020-06-01,45,,2352697.8,,60.036186679312,,,,,,141247004.8326561672,206,41,2352697.8085256725,,57382.8733786749,,5329,,2352697.8085256725,,,,
2020-06-02,71,,10090257.8,,14.99835430353,,,,,,151337261.5464189274,450,77,10090257.803204693,,131042.3091325285,,100,,10090257.803204693,,,,
2020-06-03,44,,752197.9,,202.193411291337,,,,,,152089459.4076189274,218,31,752197.9002,,24264.44839355,,2962.5,,752197.9002,,,,
2020-06-04,33,,1184085,,129.444713988529,,,,,,153273544.3702189274,224,34,1184085.0016,,34826.02945882,,5,,1184085.0016,,,,
2020-06-05,30,,1141553.3,,135.267532029086,,,,,,154415097.6518189274,120,22,1141553.3006,,51888.78639091,,7096.95,,1141553.3006,,,,
2020-06-06,28,,1178764.9,,131.997366348814,,,,,,155593862.5292189274,140,22,1178764.9014,,53580.22279091,,10635.099999999999,,1178764.9014,,,,
2020-06-07,23,,6979602.1,,23.292655121965,,,,,,162573464.6178189274,86,19,6979602.1006,,367347.47897895,,3303.4,,6979602.1006,,,,
2020-06-08,57,,37704302.7,,5.311801383041,,,,,,200277767.2412185373,392,38,37704302.7024,,992218.49216842,,4725.7,,37704302.7024,,,,
2020-06-09,234,,28744947.4,,7.96405525406,,,,,,229022714.4818185373,1344,342,28757047.4056,,84084.9339345,,10,,28757047.4056,,,,
2020-06-10,182,,13179302.1,,18.175975203541,,,,,,242202016.4824180229,782,179,13325393.2056,,74443.53746145,,2,,13325393.2056,,,,
2020-06-11,76,,14300472.3,,17.936644555023,,,,,,256502488.6822180229,506,45,14300472.3038,,317788.27341778,,4588,,14300472.3038,,,,
2020-06-12,243,,2484356.9,,30.480670260188,,,,,,258986845.4474171349,864,156,8496756.9032,,54466.39040513,,100,,8496756.9032,,,,
2020-06-13,98,,164623,,1574.211766367894,,,,,,259151468.3374171349,496,22,164623.003,,7482.86377273,,0.0002,,164623.003,,,,
2020-06-14,29,,5852821.3,,45.27804215706,,,,,,265004289.6044171349,182,23,5852821.301,,254470.49134783,,8000,,5852821.301,,,,
2020-06-15,57,,12314565.3,,22.519179010072,,,,,,277318854.7764171349,654,59,12314785.306,,208725.17467797,,0.0002,,12314785.306,,,,
2020-06-16,154,,248434327.1,,1.545486293158,,,,,,525753180.7858164541,1002,108,340186246.3054001702,,3149872.6509759275,,31797.5,,340186246.3054001702,,,,
