date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-04,106,,100000000000,,1,,,,,,100000000000,104,104,100000000000,,961538461.53846154,,211741119,,100000000000,,,,
2019-01-05,4,,0,,220.22774094,,,,,,100000000000,2,2,454075402,,227037701,,227037701,,454075402,,,,
2019-01-06,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-07,92,,0,,127.49411715,,,,,,100000000000,12,99,784349915.4211944,,7922726.4183959,,1500000,,784349915.421194450995,,,,
2019-01-08,2,,0,,6666.66666667,,,,,,100000000000,1,1,15000000,,15000000,,15000000,,15000000,,,,
2019-01-09,7,,0,,896.64788189,,,,,,100000000000,6,6,111526500,,18587750,,21375000,,111526500,,,,
2019-01-10,4,,0,,1612.90325182,,,,,,100000000000,2,2,61999999,,30999999.5,,30999999.5,,61999999,,,,
2019-01-11,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-12,4,,0,,86956.52173913,,,,,,100000000000,2,2,1150000,,575000,,575000,,1150000,,,,
2019-01-13,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-14,2,,0,,42105.26315789,,,,,,100000000000,1,1,2375000,,2375000,,2375000,,2375000,,,,
2019-01-15,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-16,2,,0,,3224.52236359,,,,,,100000000000,1,1,31012345,,31012345,,31012345,,31012345,,,,
2019-01-17,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-18,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-19,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-20,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-21,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-22,6,,0,,103092.78350515,,,,,,100000000000,5,5,970000,,196000,,10000,,980000,,,,
2019-01-23,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-24,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-25,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-26,3,,0,,666666.66666667,,,,,,100000000000,3,3,150000,,50000,,30000,,150000,,,,
2019-01-27,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-28,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-29,2,,0,,100000000,,,,,,100000000000,1,1,1000,,1000,,1000,,1000,,,,
2019-01-30,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-01-31,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-01,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-02,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-03,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-04,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-05,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-06,2,,0,,66666666.66666667,,,,,,100000000000,1,1,1500,,1500,,1500,,1500,,,,
2019-02-07,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-08,2,,0,,4000,,,,,,100000000000,2,2,25000000,,12500000,,12500000,,25000000,,,,
2019-02-09,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-10,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-11,4,,0,,8333.26388947,,,,,,100000000000,2,2,12000100,,6000050,,6000050,,12000100,,,,
2019-02-12,12,,0,,11444.20243352,,,,,,100000000000,15,15,8738048.857565112,,649995.00675651,,242996.0337826087,,9749925.101347616086956519,,,,
2019-02-13,5,,0,,10869.56521739,,,,,,100000000000,3,3,9200000,,3066666.66666667,,1000000,,9200000,,,,
2019-02-14,2,,0,,50000,,,,,,100000000000,1,1,2000000,,2000000,,2000000,,2000000,,,,
2019-02-15,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-16,2,,0,,100000000,,,,,,100000000000,1,1,1000,,1000,,1000,,1000,,,,
2019-02-17,2,,0,,100000,,,,,,100000000000,1,1,1000000,,1000000,,1000000,,1000000,,,,
2019-02-18,4,,0,,621.66381781,,,,,,100000000000,2,2,160858646,,80429323,,80429323,,160858646,,,,
2019-02-19,11,,0,,10023.68236093,,,,,,100000000000,11,11,9976373.591984548,,906943.05381678,,250000,,9976373.591984548016053613,,,,
2019-02-20,2,,0,,50027.54016086,,,,,,100000000000,1,1,1998899,,1998899,,1998899,,1998899,,,,
2019-02-21,6,,0,,1606.70657897,,,,,,100000000000,4,4,62239117.77595364,,15559779.44398841,,17493186.295992274,,62239117.775953644048160839,,,,
2019-02-22,2,,0,,6667.04595396,,,,,,100000000000,1,1,14999146.652140895,,14999146.6521409,,14999146.652140895,,14999146.652140895475,,,,
2019-02-23,3,,0,,28579.79754932,,,,,,100000000000,2,2,3498975.100416352,,1749487.55020818,,1749487.550208176,,3498975.100416352253244711,,,,
2019-02-24,2,,0,,100000000,,,,,,100000000000,1,1,1000,,1000,,1000,,1000,,,,
2019-02-25,2,,0,,100000000,,,,,,100000000000,1,1,1000,,1000,,1000,,1000,,,,
2019-02-26,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-02-27,4,,0,,3960.55289318,,,,,,100000000000,3,3,25249000,,8416333.33333333,,249800,,25249000,,,,
2019-02-28,2,,0,,489955.76223756,,,,,,100000000000,1,1,204100.05904066467,,204100.05904066,,204100.05904066467,,204100.059040664653942839,,,,
2019-03-01,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-03-02,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-03-03,4,,0,,789.08616653,,,,,,100000000000,3,3,126728872.259567,,42242957.41985567,,1521448.182687354,,126728872.259567010620054519,,,,
2019-03-04,0,,0,,,,,,,,100000000000,0,0,0,,,,,,0,,,,
2019-03-05,2,,0,,66712.24890408,,,,,,100000000000,1,1,1498975.1004163523,,1498975.10041635,,1498975.1004163523,,1498975.100416352253244711,,,,
2019-03-06,2,,0,,66712.24890408,,,,,,100000000000,1,1,1498975.1004163523,,1498975.10041635,,1498975.1004163523,,1498975.100416352253244711,,,,
2019-03-07,3,,0,,23329.11764959,,,,,,100000000000,2,2,4286488.734893981,,2143244.36744699,,2143244.367446991,,4286488.734893981874718511,,,,
