date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-04-18,11,,10000000,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-19,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-20,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-21,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-22,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-23,3,,0,,10000000,,,,,,10000000,2,2,1,,1,,1,,2,,,,
2017-04-24,2,,0,,1.165335163341,,,,,,10000000,1,1,8581222.222222222,,8581222.222222222222572507,,8581222.222222222,,8581222.222222222222572507,,,,
2017-04-25,2,,0,,1.177106225597,,,,,,10000000,1,1,8495410,,8495410,,8495410,,8495410,,,,
2017-04-26,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-27,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-28,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-29,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-04-30,0,,0,,,,,,,,10000000,0,0,0,,,,,,0,,,,
2017-05-01,2079,,0,,14.935716589858,,,,,,10000000,3513,3977,669536.0038359662,,248.943828209340907059,,20,,990049.604788548787374373,,,,
2017-05-02,702,948420849.719892,0,0,160.066284306353,,0.06479085224050367,94.8420849719892,,,10000000,1388,1378,62474.118414973906,5925175.647263070429535858914,72.882058297146205246,6912.286365951410896818874984,11.99,1137.156598814150508,100431.4763334674708292,9525130.61228104421583651625,,,
2017-05-03,342,804381186.497196,0,0,314.759259461396,,0.05294040089872723,80.4381186497196,,,10000000,789,789,31770.312387669244,2555544.157377995050234298144,61.968447141013154021,4984.625303667693411773582503,15,1206.571779745794,48893.104794259378522643,3932869.364593810101895309016,,,
2017-05-04,232,865661929.628492,0,0,312.423600835727,,0.05621801761550162,86.5661929628492,,,10000000,481,481,32007.82518750246,2770795.571502482828358913609,102.387018877587719943,8863.254433048142278098201133,16.502,1428.5153162729374984,49248.156080119693292462,4263225.382296156435754760236,,,
2017-05-05,181,849629169.471335,0,0,465.523015607721,,0.055536746964394035,84.9629169471335,,,10000000,310,309,21481.21503067987,1825106.688575169593961352653,98.5070780911137595,8369.448694560092342052595933,15.0242623,1276.50514998684893711705,30438.68713015415168536,2586159.646619068533682357335,,,
2017-05-06,283,1122362337.80861,0,0,742.167331417515,,0.07133875771116661,112.236233780861,,,10000000,559,556,13474.050361257921,1512276.66632123863359381445,36.744183135754151735,4124.028728511273192414936933,12.04420711,1351.79644490306823812171,20429.765823479308364706,2292959.973052267894987867801,,,
2017-05-07,183,952051426.537665,0,0,311.991312433826,,0.062377745516402884,95.2051426537665,,,10000000,372,368,32052.17453649778,3051531.849110693291700035888,97.763401276458333301,9307.5785648426335596107307,9.982413605000001,950.3771112929246092983751538,35976.931669736666654762,3425188.911862089149936177667,,,
