date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-09,936,,1000000000.05,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-10,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-11,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-12,2,,0,,100000.000005,,,,,,1000000000.05,1,1,10000,,10000,,10000,,10000,,,,
2019-04-13,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-14,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-15,3,,0,,909090.90913636,,,,,,1000000000.05,2,2,1100,,550,,550,,1100,,,,
2019-04-16,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-17,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-18,3,,0,,18.69112208,,,,,,1000000000.05,2,2,53501335.86541952,,26750667.93270976,,26750667.93270976,,53501335.86541952,,,,
2019-04-19,4,,0,,19.29367232,,,,,,1000000000.05,3,3,51830464.591,,17276821.53033333,,1335698.591,,51830464.591,,,,
2019-04-20,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-21,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-22,4,,0,,15458.10081851,,,,,,1000000000.05,3,3,64691,,21563.66666667,,50,,64691,,,,
2019-04-23,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-24,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-25,0,,0,,,,,,,,1000000000.05,0,0,0,,,,,,0,,,,
2019-04-26,9,,0,,23.09142924,,,,,,1000000000.05,9,9,43306111.088,,4811790.12088889,,1950000,,43306111.088,,,,
2019-04-27,75,,0,,300.33977867,,,,,,1000000000.05,62,62,3329562.286,,53702.61751613,,18.07,,3329562.285999999999997952,,,,
2019-04-28,135,,0,,149.81825348,,,,,,1000000000.05,165,165,6674754.089,,40453.05508485,,19.6,,6674754.088999999999995904,,,,
2019-04-29,154,,0,,285.3213873,,,,,,1000000000.05,177,177,3504819.63341,,19801.24086672,,18,,3504819.633409999999993856,,,,
2019-04-30,127,,0,,371598.5724855,,,,,,1000000000.05,153,153,2691.0759999999996,,17.58873203,,15,,2691.076000000000009216,,,,
2019-05-01,90,,0,,4185.27134897,,,,,,1000000000.05,83,83,238933.13400000002,,2878.71245783,,16.8,,238933.133999999999997952,,,,
2019-05-02,80,,0,,533049.04053838,,,,,,1000000000.05,77,77,1876,,24.36363636,,17.08,,1875.999999999999995904,,,,
2019-05-03,99,,0,,6832.1113833,,,,,,1000000000.05,106,117,146367.63716907936,,1519.2928354,,21.103,,177757.261741297706989102,,,,
2019-05-04,13,,0,,42756.72143725,,,,,,1000000000.05,17,30,23388.13562956519,,1681.6182704,,902.32915,,50448.548111997597512674,,,,
2019-05-05,51,,0,,36277.16898803,,,,,,1000000000.05,51,59,27565.546814853238,,892.51807508,,22.986,,52658.566429706481369572,,,,
2019-05-06,102,,0,,144.63245969,,,,,,1000000000.05,108,112,6914077.256049524,,61842.88768481,,19.16,,6926403.420699048598251632,,,,
2019-05-07,86,,0,,66845.5390937,,,,,,1000000000.05,80,81,14959.8614,,251.10531111,,17,,20339.5302,,,,
2019-05-08,115,,0,,3031.0598549,,,,,,1000000000.05,114,119,329917.60239659384,,3098.19891654,,22,,368685.671068491577880502,,,,
2019-05-09,112,,0,,28864.46094144,,,,,,1000000000.05,107,110,34644.6795621368,,592.92638295,,18.017,,65221.902124273610129906,,,,
2019-05-10,124,,0,,11465.05364894,,,,,,1000000000.05,120,122,87221.57180160841,,743.03116724,,20,,90649.802403216818020814,,,,
2019-05-11,84,,0,,100194.45902812,,,,,,1000000000.05,81,87,9980.591838609522,,253.55814916,,20,,22059.558977219046676102,,,,
2019-05-12,92,,0,,100294.66291342,,,,,,1000000000.05,87,93,9970.620280296433,,199.17205979,,18,,18523.00156059286503149,,,,
2019-05-13,104,,0,,71.08517975,,,,,,1000000000.05,99,105,14067629.90009592,,134079.97534468,,20,,14078397.411191832544509922,,,,
2019-05-14,114,,0,,467.81626432,,,,,,1000000000.05,116,126,2137591.3500888487,,17081.65576886,,24.79,,2152288.62687669673541951,,,,
2019-05-15,122,,0,,176.09801815,,,,,,1000000000.05,126,145,5678655.61768144,,39430.71314816,,24,,5717453.406483356820239176,,,,
2019-05-16,124,,0,,1915.68926246,,,,,,1000000000.05,133,168,522005.32708766335,,3502.8053529,,44.5975,,588471.299286502972204716,,,,
2019-05-17,100,,0,,7740.6735458,,,,,,1000000000.05,112,122,129187.72431540508,,1323.07476978,,21.785,,161415.121912762158864978,,,,
2019-05-18,110,,0,,3893.97821554,,,,,,1000000000.05,117,136,256806.7782352817,,3036.24809592,,24.776,,412929.741045605731558714,,,,
2019-05-19,102,,0,,31240.07825421,,,,,,1000000000.05,100,110,32010.163096032644,,546.04598679,,22.75,,60065.058547348391529674,,,,
2019-05-20,103,,0,,1417.52358639,,,,,,1000000000.05,104,119,705455.6337906423,,6117.11092786,,23.6,,727936.200415693199327272,,,,
2019-05-21,106,,0,,19368.13234049,,,,,,1000000000.05,112,122,51631.20441714164,,830.6081134,,21.5,,101334.18983428328745909,,,,
2019-05-22,95,,0,,5575.44273089,,,,,,1000000000.05,96,120,179357.95385541554,,2940.59012259,,36.5,,352870.814710831099942396,,,,
2019-05-23,101,,0,,22528.13163586,,,,,,1000000000.05,111,123,44388.9451736872,,661.67213697,,22.25,,81385.672847374378511208,,,,
2019-05-24,113,,0,,152.60605676,,,,,,1000000000.05,107,108,6552819.863551184,,61070.34127674,,18.46,,6595596.857887476611590091,,,,
2019-05-25,89,,0,,511595.30767342,,,,,,1000000000.05,92,92,1954.6700000000003,,21.24641304,,19.285,,1954.670000000000001024,,,,
2019-05-26,100,,0,,26542.61684312,,,,,,1000000000.05,100,101,37675.2603543334,,405.71466613,,15.933,,40977.181279593395902056,,,,
2019-05-27,103,,0,,55849.78743209,,,,,,1000000000.05,97,111,17905.171103220036,,267.81047437,,24.8,,29726.962655016143615282,,,,
2019-05-28,103,,0,,66500.28147283,,,,,,1000000000.05,102,104,15037.530336747843,,161.48637269,,15,,16794.58276024514448168,,,,
2019-05-29,103,,0,,30020.02425828,,,,,,1000000000.05,104,104,33311.09900000001,,623.50095192,,15.32,,64844.099,,,,
2019-05-30,105,,0,,59578.90272856,,,,,,1000000000.05,101,112,16784.464873514906,,333.18105465,,20.81,,37316.278121251164832504,,,,
2019-05-31,140,,0,,43001.74143254,,,,,,1000000000.05,144,167,23254.872168812435,,253.92766669,,30,,42405.920337624885004954,,,,
2019-06-01,93,,0,,297165.1363747,,,,,,1000000000.05,84,90,3365.132304043524,,59.1615512,,18.665000000000003,,5324.539608087047711396,,,,
2019-06-02,98,,0,,137614.32588344,,,,,,1000000000.05,99,105,7266.685307872787,,120.48096777,,17,,12650.501615745575963712,,,,
2019-06-03,114,,0,,7369.10168617,,,,,,1000000000.05,108,114,135701.75072048485,,1210.50943369,,19.118,,137998.075440969641768944,,,,
2019-06-04,108,,0,,16324.81339557,,,,,,1000000000.05,111,139,61256.44292640564,,719.84202772,,35.2,,100058.041852811271241144,,,,
2019-06-05,104,,0,,325063.31524468,,,,,,1000000000.05,94,96,3076.32375956445,,35.83364681,,18.7305,,3440.030093930229134626,,,,
2019-06-06,95,,0,,266673.08807125,,,,,,1000000000.05,107,110,3749.9097013599085,,62.42064262,,18,,6866.27068842981691191,,,,
2019-06-07,94,,0,,10510.69156442,,,,,,1000000000.05,95,102,95141.21824626515,,1844.26183236,,23.5825,,188114.706901130053280964,,,,
2019-06-08,100,,0,,152059.38874709,,,,,,1000000000.05,95,105,6576.377876365254,,119.65976768,,23,,12564.275606215808614356,,,,
2019-06-09,99,,0,,67491.93572633,,,,,,1000000000.05,95,111,14816.584963643832,,261.23521108,,23.5,,28997.108429776681401258,,,,
2019-06-10,101,,0,,4077.12447449,,,,,,1000000000.05,104,127,245270.90264413954,,2071.19370306,,27,,263041.600288278979308924,,,,
2019-06-11,107,,0,,217617.29820193,,,,,,1000000000.05,106,114,4595.222936377348,,65.78965678,,17.282999999999998,,7500.020872754694253518,,,,
2019-06-12,113,,0,,123192.04137433,,,,,,1000000000.05,104,120,8117.407495597927,,121.28309159,,22.725,,14553.970991195852650374,,,,
2019-06-13,44,,0,,52007.18740375,,,,,,1000000000.05,34,47,19228.11153555847,,544.12548613,,155.19802289529892,,25573.897848069719623512,,,,
2019-06-14,102,,0,,424.94339661,,,,,,1000000000.05,115,134,2353254.5934984344,,17668.64776614,,25.395,,2367598.800662163349441326,,,,
