date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-01-31,7,,500000000,,0.9803921,,,,,,500000000,500000000,10000200,8,8,510000027.23,,63750003.40375,,11.5,,510000027.23,,,,
2018-02-01,1074,,0,,9.98587891,,,,,,500000000,500000000,30000200,1290,1289,50070705.304912016,,38852.08596192,,3000,,50080338.80491201,,,,
2018-02-02,1927,,0,,5.29249969,,,,,,500000000,500000000,50000200,2483,2483,94473316.79496993,,38407.85613974,,3319.5,,95366706.79496994,,,,
2018-02-03,1129,,0,,38.17735492,,,,,,500000000,500000000,50000200,1507,1507,13096769.04271287,,10659.26062998,,3319.5,,16063505.76937807,,,,
2018-02-04,965,,0,,42.22001718,,,,,,500000000,500000000,50000200,1266,1266,11842723.744801471,,14022.07074072,,1124.5,,17751941.55774554,,,,
2018-02-05,574,,0,,28.19026707,,,,,,500000000,500000000,50000200,1085,1085,17736618.058471818,,18571.91574362,,3200,,20150528.58182923,,,,
2018-02-06,186,,0,,138.55710575,,,,,,500000000,500000000,50000200,369,369,3608620.4116137302,,14943.12991188,,4292.5,,5514014.93748285,,,,
2018-02-07,176,,0,,157.71901734,,,,,,500000000,500000000,50000200,288,288,3170194.74529082,,16827.06631947,,1700.84722,,4846195.10000874,,,,
2018-02-08,109,,0,,146.09190242,,,,,,500000000,500000000,50000200,170,170,3422503.1759558604,,30462.51954633,,2115.5,,5178628.32287586,,,,
2018-02-09,127,,0,,192.56151638,,,,,,500000000,500000000,50000200,192,192,2596572.82205644,,22936.29512095,,1999.5,,4403768.6632225,,,,
2018-02-10,159,,0,,168.37927127,,,,,,500000000,500000000,50000200,291,291,2969486.6608873,,13241.90678048,,1499.5,,3853394.87311995,,,,
2018-02-11,98,,0,,533.36921656,,,,,,500000000,500000000,50000200,136,135,937436.9282549301,,10185.87966261,,749.5,,1375093.75445183,,,,
2018-02-12,356,,0,,183.01558589,,,,,,500000000,500000000,50000200,409,409,2732007.7553022597,,8401.57513944,,1.5,,3436244.23203195,,,,
2018-02-13,1068,,0,,52.51213681,,,,,,500000000,500000000,50000200,1123,1123,9521608.343935259,,9610.89137518,,1,,10793031.0143251,,,,
2018-02-14,2311,,0,,309.00506026,,,,,,500000000,500000000,50000200,2440,2440,1618096.47899155,,770.48790123,,1,,1879990.478991550000000015,,,,
2018-02-15,1424,,0,,548.84219211,,,,,,500000000,500000000,50000200,1495,1495,911008.6782511001,,997.92804785,,5,,1491902.4315311,,,,
2018-02-16,2339,,0,,381.93557787,,,,,,500000000,500000000,50000200,2383,2383,1309121.2994259,,549.35849745,,2.3,,1309121.2994259,,,,
2018-02-17,2928,,0,,155.18289044,,,,,,500000000,500000000,50000200,2991,3013,3222004.6847363203,,2039.11273971,,1,,6143846.684736320000000266,,,,
2018-02-18,2432,,0,,338.10999379,,,,,,500000000,500000000,50000200,2512,2512,1478808.6988830299,,588.69773045,,1,,1478808.69888303,,,,
2018-02-19,3010,,0,,907.68842131,,,,,,500000000,500000000,50000200,3064,3064,550849.8161484699,,179.80248569,,1,,550914.81614847,,,,
2018-02-20,3734,,0,,739.18864732,,,,,,500000000,500000000,50000200,3764,3764,676417.3148635802,,179.70704433,,1,,676417.31486358,,,,
2018-02-21,5641,,0,,263.80339977,,,,,,500000000,500000000,50000200,5702,5702,1895350.8576182292,,332.40106237,,1,,1895350.85761824,,,,
2018-02-22,2176,,0,,253.19260661,,,,,,500000000,500000000,50000200,2196,2196,1974781.2018936803,,911.19863474,,1,,2000992.20189368,,,,
2018-02-23,721,,0,,100.00538954,,,,,,500000000,500000000,50000200,737,737,4999730.537393379,,6783.94916878,,5,,4999770.53739338,,,,
2018-02-24,2870,,0,,66.72220288,,,,,,500000000,500000000,50000200,2905,2905,7493757.376729999,,2579.60667013,,1,,7493757.37673,,,,
2018-02-25,4825,,0,,112.15537629,,,,,,500000000,500000000,50000200,4855,4855,4458101.042989681,,918.24944243,,1,,4458101.04298968,,,,
2018-02-26,3736,,0,,97.27100789,,,,,,500000000,500000000,50000200,3845,3845,5140277.77500088,,1646.23843303,,0.5,,6329786.77500088,,,,
2018-02-27,3569,,0,,14.09210179,,,,,,500000000,500000000,50000200,3752,3752,35480867.74784656,,10082.84401595,,1,,37830830.74784656,,,,
2018-02-28,940,,0,,11.91409079,,,,,,500000000,500000000,50000200,1161,1161,41967113.46124262,,39205.08394595,,0.8,,45517102.46124262,,,,
2018-03-01,127,,0,,109.92946963,,,,,,500000000,500000000,50000200,117,117,4548370.89341645,,45285.21276424,,1794.5,,5298369.89341645,,,,
2018-03-02,66,,0,,78.6309644,,,,,,500000000,500000000,50000200,65,65,6358818.1043476695,,105101.6948322,,5000,,6831610.16409308,,,,
2018-03-03,99,,0,,251.38316478,,,,,,500000000,500000000,50000200,108,108,1988995.56554348,,22925.48639503,,10,,2475952.53066348,,,,
2018-03-04,67,,0,,290.63326519,,,,,,500000000,500000000,50000200,50,50,1720381.18097594,,34485.32361952,,1885.004999995,,1724266.18097594,,,,
2018-03-05,55,,0,,634.99708949,,,,,,500000000,500000000,50000200,48,48,787405.18386452,,16404.27466384,,1006.5,,787405.18386452,,,,
2018-03-06,57,,0,,96.73114468,,,,,,500000000,500000000,50000200,48,48,5168966.020589641,,107686.79209562,,2115.895146015,,5168966.02058964,,,,
2018-03-07,51,,0,,125.45736591,,,,,,500000000,500000000,50000200,47,47,3985417.6468006303,,84796.12014469,,999,,3985417.64680063,,,,
2018-03-08,53,,0,,1605.26041959,,,,,,500000000,500000000,50000200,49,49,311475.94116006995,,6356.65186041,,1698,,311475.94116007,,,,
2018-03-09,82,,0,,39.90035487,,,,,,500000000,500000000,50000200,87,87,12531216.86948964,,159098.03298264,,1969.0616,,13841528.86948964,,,,
2018-03-10,73,,0,,65.19361466,,,,,,500000000,500000000,50000200,99,99,7669462.762302832,,90580.05355943,,79999,,8967425.3023833305,,,,
2018-03-11,40,,0,,748.40636317,,,,,,500000000,500000000,50000200,34,34,668086.24914,,25531.86026882,,864.5,,868083.24914,,,,
2018-03-12,67,,0,,168.33777196,,,,,,500000000,500000000,50000200,62,62,2970218.7107045297,,51132.49533394,,1404,,3170214.71070453,,,,
2018-03-13,291,,0,,98.79220088,,,,,,500000000,500000000,50000200,314,314,5061128.2628,,17040.2046586,,70,,5350624.2628,,,,
2018-03-14,116,,0,,244.40848921,,,,,,500000000,500000000,50000200,215,215,2045755.4548335096,,13702.27188295,,69,,2945988.45483351,,,,
2018-03-15,149,,0,,263.54868193,,,,,,500000000,500000000,50000200,178,178,1897182.70010428,,10658.32977587,,9732,,1897182.70010428,,,,
2018-03-16,96,,0,,513.70488078,,,,,,500000000,500000000,50000200,144,144,973321.49003381,,7245.35062523,,19,,1043330.49003381,,,,
2018-03-17,64,,0,,396.87696046,,,,,,500000000,500000000,50000200,75,75,1259836.29640853,,23464.47061878,,10,,1759835.29640853,,,,
2018-03-18,59,,0,,240.36774616,,,,,,500000000,500000000,50000200,98,98,2080145.9763050699,,24857.91182005,,5702.5,,2436075.35836507,,,,
2018-03-19,83,,0,,158.05663898,,,,,,500000000,500000000,50000200,98,98,3163422.9553389903,,51217.33219734,,9930,,5019298.55533899,,,,
2018-03-20,61,,0,,502.99709237,,,,,,500000000,500000000,50000200,55,55,994041.5314205299,,32073.55511674,,5000.099999,,1764045.5314205300001,,,,
2018-03-21,69,,0,,53.19300647,,,,,,500000000,500000000,50000200,68,68,9399731.90425967,,139260.74859205,,198.5,,9469730.90425967,,,,
2018-03-22,39,,0,,2037.98156479,,,,,,500000000,500000000,50000200,33,33,245340.78651034003,,7434.56928819,,299,,245340.78651034,,,,
2018-03-23,57,,0,,264.69346079,,,,,,500000000,500000000,50000200,47,47,1888977.53089781,,52966.35172123,,419,,2489418.53089781,,,,
2018-03-24,65,,0,,130.00135881,,,,,,500000000,500000000,50000200,54,54,3846113.6449620402,,71224.32675856,,2011.91052,,3846113.64496204,,,,
2018-03-25,77,,0,,118.09931058,,,,,,500000000,500000000,50000200,81,81,4233724.96872647,,52268.20949045,,1815.65,,4233724.96872647,,,,
2018-03-26,117,,0,,218.88737767,,,,,,500000000,500000000,50000200,126,126,2284279.7302079294,,22806.9593229,,11085.65354,,2873676.87468588,,,,
2018-03-27,623,,0,,78.73890529,,,,,,500000000,500000000,50000200,716,716,6350100.98455379,,12252.2062054,,5000,,8772579.64306549,,,,
2018-03-28,189,,0,,588.94237063,,,,,,500000000,500000000,50000200,249,249,848979.50111292,,4100.29478359,,1019.5,,1020973.40111292,,,,
2018-03-29,26,,0,,593.79968022,,,,,,500000000,500000000,50000200,17,17,842034.8084600001,,49531.45932118,,445.57506,,842034.80846,,,,
2018-03-30,26,,0,,126.04262193,,,,,,500000000,500000000,50000200,31,31,3966912.08371597,,131178.7611089,,6594.91611015,,4066541.59437597,,,,
2018-03-31,26,,0,,4338.71757795,,,,,,500000000,500000000,50000200,28,28,115241.42584,,7365.76520857,,470.28301,,206241.42584,,,,
2018-04-01,23,,0,,1358.29166002,,,,,,500000000,500000000,50000200,15,15,368109.45301015,,24540.63020068,,2417.1061,,368109.45301015,,,,
2018-04-02,40,,0,,278.57035313,,,,,,500000000,500000000,50000200,47,47,1794878.7240762901,,39028.37710801,,484.49706,,1834333.72407629,,,,
2018-04-03,59,,0,,148.7198002,,,,,,500000000,500000000,50000200,54,54,3362027.1094599995,,62259.7612863,,749,,3362027.10946,,,,
2018-04-04,48,,0,,1642.32196379,,,,,,500000000,500000000,50000200,41,41,304447.0031,,7425.53666098,,655.5,,304447.0031,,,,
2018-04-05,29,,0,,2688.19365262,,,,,,500000000,500000000,50000200,19,19,185998.50479999997,,9841.97393684,,519,,186997.5048,,,,
2018-04-06,236,,0,,123.11864444,,,,,,500000000,500000000,50000200,233,233,4061123.3357613203,,17434.00144104,,699,,4062122.33576132,,,,
2018-04-07,89,,0,,2119.68017629,,,,,,500000000,500000000,50000200,80,80,235884.64221766006,,3115.49420822,,318.07024,,249239.53665766,,,,
2018-04-08,239,,0,,3209.74622381,,,,,,500000000,500000000,50000200,251,251,155775.55517948998,,1023.24594215,,120,,256834.73147949,,,,
2018-04-09,164,,0,,10081.73352832,,,,,,500000000,500000000,50000200,253,253,49594.645464019995,,206.13495836,,102,,52152.14446402,,,,
2018-04-10,34,,0,,499.48350221,,,,,,500000000,500000000,50000200,33,33,1001034.06376,,59013.59023152,,1078,,1947448.47764,,,,
2018-04-11,37,,0,,1128.62404896,,,,,,500000000,500000000,50000200,44,44,443017.31870655995,,10535.87857288,,528.964918755,,463578.65720656,,,,
2018-04-12,43,,0,,387.81636197,,,,,,500000000,500000000,50000200,42,42,1289269.99744277,,30999.94517721,,629,,1301997.69744277,,,,
2018-04-13,48,,0,,417.46905054,,,,,,500000000,500000000,50000200,50,50,1197693.57596832,,24562.38176874,,698.37636,,1228119.08843701,,,,
2018-04-14,26,,0,,6208.1892793,,,,,,500000000,500000000,50000200,15,15,80538.78152,,5369.25210133,,199,,80538.78152,,,,
2018-04-15,26,,0,,11782.54346104,,,,,,500000000,500000000,50000200,17,17,42435.6593,,2496.21525294,,155.65,,42435.6593,,,,
