date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-23,35,,3000000,,,,,,,,3000000,0,0,0,,,,,,0,,,,
2019-05-24,6,,2086.575875486157663248,,300208.657587548616,,,,,,3002086.575875486157663248,1,1,10,,10,,10,,10,,,,
2019-05-25,5,,107.003891050407312184,,2946.215485541253,,,,,,3002193.579766536564975432,4,4,1019,,254.75,,7,,1019,,,,
2019-05-26,4,,97.276264591276173749,,4720.583106967182,,,,,,3002290.856031127841149181,5,5,636,,127.2,,20,,636,,,,
2019-05-27,0,,0,,,,,,,,3002290.856031127841149181,0,0,0,,,,,,0,,,,
2019-05-28,2,,97.27626459123416895,,,,,,,,3002388.132295719075318131,0,0,0,,,,,,0,,,,
2019-05-29,6,,431.454280154305505128,,2153.402761193848,,,,,,3002819.586575873380823259,5,5,1394.4533,,278.89066,,113,,1394.4533,,,,
2019-05-30,6,,540.719844354327068255,,4411.775525031182,,,,,,3003360.306420227707891514,7,7,680.76,,97.25142857,,31,,680.76,,,,
2019-05-31,0,,0,,,,,,,,3003360.306420227707891514,0,0,0,,,,,,0,,,,
2019-06-01,0,,0,,,,,,,,3003360.306420227707891514,0,0,0,,,,,,0,,,,
2019-06-02,3,,97.276264590399239579,,60069.151653696362,,,,,,3003457.582684818107131093,1,1,50,,50,,50,,50,,,,
2019-06-03,5,,39.182879376947190002,,75878.988749742187,,,,,,3003496.765564195054321095,2,4,39.58272,,9.89568,,4.33736,,39.58272,,,,
2019-06-04,3,,206.043774316472080063,,,,,,,,3003702.809338511526401158,0,0,0,,,,,,0,,,,
2019-06-05,0,,0,,,,,,,,3003702.809338511526401158,0,0,0,,,,,,0,,,,
2019-06-06,6,,29330.884502474332444764,,6725.130141554292,,,,,,3033033.693840985858845922,6,6,451,,75.16666667,,100,,451,,,,
2019-06-07,3,,680.933763696573189794,,,,,,,,3033714.627604682432035716,0,0,0,,,,,,0,,,,
2019-06-08,2,,77.821000897913019764,,,,,,,,3033792.44860558034505548,0,0,0,,,,,,0,,,,
2019-06-09,0,,0,,,,,,,,3033792.44860558034505548,0,0,0,,,,,,0,,,,
2019-06-10,0,,0,,,,,,,,3033792.44860558034505548,0,0,0,,,,,,0,,,,
2019-06-11,0,,0,,,,,,,,3033792.44860558034505548,0,0,0,,,,,,0,,,,
2019-06-12,2,,97.276251122391274705,,,,,,,,3033889.724856702736330185,0,0,0,,,,,,0,,,,
2019-06-13,0,,0,,,,,,,,3033889.724856702736330185,0,0,0,,,,,,0,,,,
2019-06-14,6,,6408.342126492677221228,,,,,,,,3040298.066983195413551413,0,0,0,,,,,,0,,,,
2019-06-15,2,,0,,30710.081484678742,,,,,,3040298.066983195413551413,1,1,99,,99,,99,,99,,,,
2019-06-16,5,,851.848001524269912461,,,,,,,,3041149.914984719683463874,0,0,0,,,,,,0,,,,
2019-06-17,3,,719.844134616191734041,,,,,,,,3041869.759119335875197915,0,0,0,,,,,,0,,,,
2019-06-18,2,,97.2762324327025344,,,,,,,,3041967.035351768577732315,0,0,0,,,,,,0,,,,
2019-06-19,3,,283482.24047355546566798,,,,,,,,3325449.275825324043400295,0,0,0,,,,,,0,,,,
2019-06-20,0,,0,,,,,,,,3325449.275825324043400295,0,0,0,,,,,,0,,,,
2019-06-21,4,,71763.367652612324986869,,,,,,,,3397212.643477936368387164,0,0,0,,,,,,0,,,,
2019-06-22,0,,0,,,,,,,,3397212.643477936368387164,0,0,0,,,,,,0,,,,
2019-06-23,0,,0,,,,,,,,3397212.643477936368387164,0,0,0,,,,,,0,,,,
2019-06-24,2,,96853.275443088120218639,,,,,,,,3494065.918921024488605803,0,0,0,,,,,,0,,,,
2019-06-25,2,,4803.005449288364917187,,,,,,,,3498868.92437031285352299,0,0,0,,,,,,0,,,,
2019-06-26,2,,289.874752872185239858,,,,,,,,3499158.799123185038762848,0,0,0,,,,,,0,,,,
2019-06-27,2,,386.492403687283684376,,,,,,,,3499545.291526872322447224,0,0,0,,,,,,0,,,,
2019-06-28,2,,2898.479335765827664964,,,,,,,,3502443.770862638150112188,0,0,0,,,,,,0,,,,
2019-06-29,2,,20275.95882683252458687,,,,,,,,3522719.729689470674699058,0,0,0,,,,,,0,,,,
2019-06-30,0,,0,,,,,,,,3522719.729689470674699058,0,0,0,,,,,,0,,,,
2019-07-01,0,,0,,,,,,,,3522719.729689470674699058,0,0,0,,,,,,0,,,,
2019-07-02,2,,86569.241398013858111622,,,,,,,,3609288.97108748453281068,0,0,0,,,,,,0,,,,
2019-07-03,3,,19805.603240214476077832,,,,,,,,3629094.574327699008888512,0,0,0,,,,,,0,,,,
2019-07-04,9,,38224.841962145284953257,,3314.858231053068,,,,,,3667319.416289844293841769,3,5,1106.32768,,221.265536,,32,,1106.32768,,,,
2019-07-05,2,,0,,3667.319416289844,,,,,,3667319.416289844293841769,1,1,1000,,1000,,1000,,1000,,,,
2019-07-06,3,,372.211081812205601671,,,,,,,,3667691.62737165649944344,0,0,0,,,,,,0,,,,
2019-07-07,0,,0,,,,,,,,3667691.62737165649944344,0,0,0,,,,,,0,,,,
2019-07-08,5,,1943.313469775236274048,,,,,,,,3669634.940841431735717488,0,0,0,,,,,,0,,,,
2019-07-09,2,,285.50090727770072433,,,,,,,,3669920.441748709436441818,0,0,0,,,,,,0,,,,
2019-07-10,8,,4648.773193106144077325,,33405.174681289233,,,,,,3674569.214941815580519143,2,2,110,,55,,55,,110,,,,
2019-07-11,9,,775.231289396178292349,,2606.627266830647,,,,,,3675344.446231211758811492,2,2,1410,,705,,705,,1410,,,,
2019-07-12,12,,2466.810250887112730848,,136.630380764412,,,,,,3677811.25648209887154234,20,20,26917.96096816608,,1345.898048408303955999,,200,,26917.960968166079119978,,,,
2019-07-13,7,,9.2848852780956525,,2308.777686146093,,,,,,3677820.54136737696719484,7,7,1592.973010539853,,227.567572934264717483,,80,,1592.973010539853022378,,,,
2019-07-14,7,,142.963420524475188872,,2666.878778912331,,,,,,3677963.504787901442383712,6,6,1379.1266156791478,,229.854435946524638,,187.5,,1379.126615679147826,,,,
2019-07-15,12,,27.888710751446763118,,64.709578327303,,,,,,3677970.49343954486945586,19,25,56838.11560069631,,2273.524624027852608465,,4.939024390243903,,56838.115600696315211614,,,,
2019-07-16,6,,266.977073176047875365,,146181.520361235017,,,,,,3678237.470512720917331225,2,2,25.162123512077866,,12.581061756038932,,12.581061756038933,,25.162123512077865,,,,
2019-07-17,10,,680.683609767165830656,,124.918749354755,,,,,,3678918.154122488083161881,12,12,29450.488202333716,,2454.207350194476395,,525,,29450.488202333716738,,,,
2019-07-18,2,,0,,1635.07473516555,,,,,,3678918.154122488083161881,3,3,2250,,750,,750,,2250,,,,
2019-07-19,5,,330.538319316663885453,,1168.015457918033,,,,,,3679248.692441804747047334,2,2,3150,,1575,,1575,,3150,,,,
2019-07-20,5,,0,,59756.1636318995,,,,,,3679248.692441804747047334,3,9,61.57103248973834,,6.84122583219315,,2,,61.57103248973834,,,,
2019-07-21,0,,0,,,,,,,,3679248.692441804747047334,0,0,0,,,,,,0,,,,
2019-07-22,25,,0,,36.523059963374,,,,,,3679248.692441804747047334,23,23,100737.69,,4379.89956522,,459,,100737.69,,,,
2019-07-23,2,,0,,85317.89009465274,,,,,,3679248.692441804747047334,2,7,43.124,,6.16057143,,0.96,,43.124,,,,
2019-07-24,5,,646.878410394937220536,,672555.155673440988,,,,,,3679840.85651649837199787,2,2,5.471433570131227,,2.735716785065614,,2.7357167850656134,,5.471433570131227,,,,
2019-07-25,2,,86.927974894748686208,,,,,,,,3679927.784491393120684078,0,0,0,,,,,,0,,,,
2019-07-26,5,,0.18417258409632606,,59942595.474568014981,,,,,,3679927.568663977217010138,1,1,0.06139086136544202,,0.06139086136544202,,0.06139086136544202,,0.06139086136544202,,,,
2019-07-27,4,,2.7854655834260871,,3963309.032938832627,,,,,,3679886.969244282556140238,3,3,0.9284885278086958,,0.3094961759362319,,0.3713954111217392,,0.9284885278086957,,,,
2019-07-28,5,,546.837422914894626827,,5296.438668029317,,,,,,3680433.806667197450767065,7,7,694.8884028211739,,99.26977183159627344,,4.271047227921739,,694.88840282117391409,,,,
2019-07-29,7,,110.519092491238638604,,163.367443650065,,,,,,3680544.325759688689405669,5,12,22529.239875011164,,1877.43665625093043498,,3.2,,22529.23987501116521976,,,,
2019-07-30,9,,139.32925925103932481,,649.932461575923,,,,,,3680634.655018939728730479,6,6,5663.103280138253,,943.85054668970876977,,12.438666190517392,,5663.10328013825261864,,,,
2019-07-31,8,,295.726648199761211989,,23522.024713334998,,,,,,3680879.444262741054159468,5,5,156.48650526993086,,31.297301053986171808,,4.939024390243903,,156.486505269930859039,,,,
2019-08-01,6,,1347.945215700132040604,,183.142714799072,,,,,,3682172.189538441186200072,23,23,20105.48,,874.15130435,,5,,20105.48,,,,
2019-08-02,6,,0.057418038804611502,,20554718.567765820394,,,,,,3682158.846956479990811574,2,2,0.17913934626820383,,0.089569673134101917,,0.08956967313410193,,0.179139346268203834,,,,
2019-08-03,7,,101.172986533114138967,,52192.884368785367,,,,,,3682260.019943013104950541,5,5,70.5509968356,,14.11019936712,,0.21664732315652174,,70.55099683560000002,,,,
2019-08-04,8,,12.47781288824144715,,713719.539900886971,,,,,,3682272.497755901346397691,6,6,5.159270962747149,,0.85987849379119151,,0.6965334048487566,,5.15927096274714905,,,,
2019-08-05,9,,903.436171721263610736,,1819.8858660755,,,,,,3683175.933927622610008427,8,16,2023.849958168103,,126.490622385506437114,,2.52,,2023.849958168102993829,,,,
2019-08-06,9,,10.6897242611339568,,39139.904145223372,,,,,,3683153.663676071319996227,12,14,94.10226581062189,,6.721590415044420574,,5,,94.102265810621888039,,,,
2019-08-07,4,,54.487148345539703993,,18985.609024868128,,,,,,3683208.15082441685970022,1,1,194,,194,,194,,194,,,,
