date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-16,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-17,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-18,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-19,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-20,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-21,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-22,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-23,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-06-24,2667,,25672012.34479282839620952,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-25,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-26,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-27,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-28,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-29,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-06-30,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-01,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-02,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-03,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-04,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-05,0,,0,,,,,,,,25672012.34479282839620952,0,0,0,,,,,,0,,,,
2017-07-06,5,,179546243.603784934968198687,,,,,,,,205218255.948577763364408207,0,0,0,,,,,,0,,,,
2017-07-07,4567,,0,,1.593079436157,,,,,,205218255.948577763364408207,6975,7708,128818595.7905435,,19608.586423339186523416,,1000,,151142984.151098449722493215,,,,
2017-07-08,3674,,0,,8.147154301499,,,,,,205218255.948577763364408207,5712,5733,25188949.21516591,,5198.042797983827011582,,788.13008681,,29800379.360841280257399085,,,,
2017-07-09,2467,,0,,15.270661451375,,,,,,205218255.948577763364408207,3627,3631,13438727.366331873,,4326.40018222957908851,,629.9,,15709159.061675601670378462,,,,
2017-07-10,2025,,0,,21.544486984032,,,,,,205218255.948577763364408207,2906,2913,9525325.717928633,,4201.958030126097692716,,839.5,,12240303.741757322578882008,,,,
2017-07-11,1294,,0,,35.310834217911,,,,,,205218255.948577763364408207,1916,1918,5811764.589930889,,3699.257412936362826695,,691.503143335,,7095175.71801194390160008,,,,
2017-07-12,989,,0,,92.452740500758,,,,,,205218255.948577763364408207,1427,1429,2219709.8197093983,,1933.308181651040347296,,500,,2762697.391579336656286201,,,,
2017-07-13,966,,0,,93.284231907912,,,,,,205218255.948577763364408207,1276,1278,2199924.3789793313,,2092.624372033533702313,,543.7420611829771,,2674373.947458856071555699,,,,
2017-07-14,1048,,0,,88.89470737335,,,,,,205218255.948577763364408207,1441,1444,2308554.2661913456,,2047.821980347528450189,,629.5,,2957054.939621831082072931,,,,
2017-07-15,741,,0,,125.400259295932,,,,,,205218255.948577763364408207,917,915,1636505.8342047245,,2887.371344981738238158,,760,,2641944.780658290487914485,,,,
2017-07-16,1036,,0,,54.963543009637,,,,,,205218255.948577763364408207,1490,1490,3733715.9271663874,,3260.481199491455029389,,671.22523244,,4858116.98724226799378902,,,,
2017-07-17,1049,,0,,61.949688612418,,,,,,205218255.948577763364408207,1556,1557,3312660.007583035,,3009.038366615515754661,,839.8,,4685072.736820358030007437,,,,
2017-07-18,789,,0,,36.866991254129,,,,,,205218255.948577763364408207,1205,1207,5566449.796078621,,5289.066191576932100743,,614.49,,6383902.893233357045596251,,,,
2017-07-19,636,,0,,59.270424352015,,,,,,205218255.948577763364408207,929,929,3462405.7140161255,,5426.344492187308112968,,800,,5041074.033242009236947244,,,,
2017-07-20,581,,0,,70.550365970535,,,,,,205218255.948577763364408207,843,844,2908819.1553008626,,4558.080437006341379493,,839.9,,3847019.8888333521242917,,,,
2017-07-21,601,,0,,125.216375672499,,,,,,205218255.948577763364408207,856,857,1638909.087141463,,2740.287089674100349397,,891.26826528,,2348426.035850703999433352,,,,
2017-07-22,601,,0,,150.497077673196,,,,,,205218255.948577763364408207,781,782,1363602.9291825143,,2408.570395686119514242,,586.88318751,,1883502.049426545460136897,,,,
2017-07-23,751,,0,,99.926302639376,,,,,,205218255.948577763364408207,1175,1177,2053696.0792914485,,2374.829587607319874953,,579,,2795174.424613815492819803,,,,
2017-07-24,1699,,0,,23.842960407946,,,,,,205218255.948577763364408207,2571,2573,8607079.508473689,,4109.859128469707275304,,667.645,,10574667.537552556819358409,,,,
2017-07-25,917,,0,,95.62025872472,,,,,,205218255.948577763364408207,1335,1335,2146179.6766245696,,2307.822515978277662966,,794.82542615,,3080943.058831000680059466,,,,
2017-07-26,630,,0,,161.348504868225,,,,,,205218255.948577763364408207,867,868,1271894.3761901094,,1824.241375767726360999,,440.73047589500004,,1583441.514166386481347422,,,,
2017-07-27,634,,0,,40.210742814262,,,,,,205218255.948577763364408207,871,872,5103567.892204904,,6374.469329059914222959,,662.4693649999999,,5558537.254940245202420071,,,,
2017-07-28,541,,0,,159.586221483364,,,,,,205218255.948577763364408207,743,743,1285939.6885336384,,2482.573948943396087811,,451.45240638,,1844552.444064943293243674,,,,
2017-07-29,458,,0,,173.164058566718,,,,,,205218255.948577763364408207,658,658,1185108.8363669277,,2324.540585701010027493,,489.495,,1529547.70539126459809035,,,,
2017-07-30,474,,0,,179.198990086112,,,,,,205218255.948577763364408207,739,739,1145197.6143948254,,2098.983613859312743209,,643.24519272,,1551148.890642032117231713,,,,
2017-07-31,446,,0,,51.671302179415,,,,,,205218255.948577763364408207,578,578,3971609.912907022,,7246.340677021258552713,,386,,4188384.911318287443468022,,,,
2017-08-01,428,,0,,205.352200677438,,,,,,205218255.948577763364408207,586,587,999347.7317096287,,2402.898081882241099963,,478.13129,,1410501.17406487552567821,,,,
2017-08-02,541,,0,,160.586135816019,,,,,,205218255.948577763364408207,719,720,1277932.5868062037,,2437.737244382866859339,,511.63317328,,1755170.815955664138724428,,,,
2017-08-03,655,,0,,147.685282615171,,,,,,205218255.948577763364408207,898,899,1389564.703500768,,2448.977036852629902216,,673.2588173,,2201630.356130514282091888,,,,
2017-08-04,1231,,0,,61.340960504515,,,,,,205218255.948577763364408207,1904,1905,3345533.7878752504,,2469.883236636684186868,,656.80834558,,4705127.565792883375984467,,,,
2017-08-05,3476,,0,,16.083179147977,,,,,,205218255.948577763364408207,6497,6498,12759806.631538054,,2509.334044419718852474,,828.20370951,,16305652.620639333103375147,,,,
2017-08-06,3068,,0,,19.510848999637,,,,,,205218255.948577763364408207,5223,5222,10518161.252357654,,2529.961525140923161108,,594.3288,,13211459.084285900747304742,,,,
2017-08-07,1783,,0,,27.928468539792,,,,,,205218255.948577763364408207,3049,3049,7347995.313677459,,2844.877826767006956409,,599.98,,8674032.493812604210091574,,,,
2017-08-08,1316,,0,,60.760899834047,,,,,,205218255.948577763364408207,2124,2125,3377472.2973010354,,1885.773710079184167874,,501.7,,4007269.133918266356732284,,,,
2017-08-09,1141,,0,,104.532205029622,,,,,,205218255.948577763364408207,1976,1977,1963206.0367465015,,1320.5993591968214345,,500,,2610824.933132115976006042,,,,
2017-08-10,1912,,0,,24.273079706018,,,,,,205218255.948577763364408207,3826,3826,8454561.944098823,,2695.446202078322057601,,500,,10312777.169151660192381283,,,,
2017-08-11,3600,,0,,16.903214500382,,,,,,205218255.948577763364408207,5715,5715,12140782.804592539,,2542.327606559982567204,,400,,14529402.271490300371573138,,,,
2017-08-12,5127,,0,,14.240804893364,,,,,,205218255.948577763364408207,8351,8353,14410579.843292953,,2056.740912626825294287,,363.57934585,,17179956.843171871683175294,,,,
2017-08-13,2349,,0,,34.983474781873,,,,,,205218255.948577763364408207,3715,3714,5866148.438030958,,1785.671597722660341667,,299.6,,6631984.313941960508951715,,,,
2017-08-14,2064,,0,,41.433895939176,,,,,,205218255.948577763364408207,3222,3223,4952907.548202453,,1823.056475097044999049,,257.9,,5875711.019237776031935304,,,,
2017-08-15,1802,,0,,54.4134624685,,,,,,205218255.948577763364408207,2831,2831,3771461.0803783573,,1687.542637994306797707,,300,,4777433.208161882544307833,,,,
2017-08-16,1697,,0,,58.773551817404,,,,,,205218255.948577763364408207,2473,2472,3491676.9465651,,1654.129773380741754219,,292.40195913,,4089008.79979719361643045,,,,
2017-08-17,1734,,0,,87.495336682377,,,,,,205218255.948577763364408207,2776,2778,2345476.4988625003,,1127.395562335686510282,,300.07185232,,3131904.872168537125563323,,,,
2017-08-18,1766,,0,,60.450373658051,,,,,,205218255.948577763364408207,2793,2793,3394821.9594047978,,1431.061599192792664324,,300.019712,,3996955.046545469911456341,,,,
2017-08-19,1703,,0,,57.651185979063,,,,,,205218255.948577763364408207,2993,2993,3559653.6734406115,,1517.992858781008262335,,342.9,,4543352.626331557729169965,,,,
2017-08-20,1412,,0,,53.259636494518,,,,,,205218255.948577763364408207,2366,2366,3853166.665335769,,1948.542771622978892735,,300.019712,,4610252.197659968060211772,,,,
2017-08-21,1572,,0,,101.693663930463,,,,,,205218255.948577763364408207,2490,2486,2018004.3477330522,,1182.47823396693509067,,259.82500000000005,,2939640.889641800635406303,,,,
2017-08-22,1379,,0,,85.869484335265,,,,,,205218255.948577763364408207,1984,1984,2389885.738073532,,1459.763042969479581126,,217.26377637500002,,2896169.877251447488953925,,,,
2017-08-23,1483,,0,,121.138383398056,,,,,,205218255.948577763364408207,2273,2273,1694081.1837833289,,901.749912579711207854,,200,,2049677.551293683575452174,,,,
2017-08-24,1867,,0,,38.643461955407,,,,,,205218255.948577763364408207,2495,2495,5310555.668780185,,2454.53606403511368262,,375,,6124067.479767608638137986,,,,
2017-08-25,1275,,0,,2.487767122274,,,,,,205218255.948577763364408207,1766,1766,82490943.02725549,,47520.757208638779948714,,201.47466739499998,,83921657.230456085389428521,,,,
2017-08-26,1158,,0,,191.928793923605,,,,,,205218255.948577763364408207,1793,1793,1069241.627341558,,812.876276744920886057,,225,,1457487.164203643148699802,,,,
2017-08-27,1145,,0,,138.004512215515,,,,,,205218255.948577763364408207,1687,1687,1487040.18915047,,1063.477363432221192916,,200.019856,,1794086.312110157152449953,,,,
2017-08-28,1340,,0,,118.06137960166,,,,,,205218255.948577763364408207,2226,2226,1738233.5920602137,,1145.372487564230291642,,300,,2549599.157317976629194713,,,,
2017-08-29,2181,,0,,44.207477112658,,,,,,205218255.948577763364408207,3841,3841,4642161.673818236,,1552.030383004306248293,,319.88031616,,5961348.701119540299693388,,,,
2017-08-30,2333,,0,,41.070082377452,,,,,,205218255.948577763364408207,3582,3582,4996782.184718567,,1625.970912303878283049,,328.493838655,,5824227.807872492009880322,,,,
2017-08-31,1607,,0,,60.628232034788,,,,,,205218255.948577763364408207,2274,2274,3384862.9435676723,,1656.100959129206216484,,201.00914239,,3765973.581059814936284369,,,,
2017-09-01,1619,,0,,82.710344562428,,,,,,205218255.948577763364408207,2340,2341,2481167.948631656,,1237.878769341573340393,,186.14358668,,2897874.19902862318986026,,,,
2017-09-02,1408,,0,,88.751408906107,,,,,,205218255.948577763364408207,2243,2243,2312281.669417619,,1268.39668054909827545,,258.8503,,2845013.754471627431834236,,,,
2017-09-03,1379,,0,,68.301244664339,,,,,,205218255.948577763364408207,2216,2215,3004604.9227522435,,1630.901538216148771865,,289.676,,3612446.907148769529679934,,,,
2017-09-04,2897,,0,,27.277156507403,,,,,,205218255.948577763364408207,4724,4724,7523447.537241728,,1929.833550427149690698,,349.99,,9116533.692217855138858555,,,,
2017-09-05,2332,,0,,60.980625853268,,,,,,205218255.948577763364408207,3588,3588,3365302.5543289217,,1254.397888091105881081,,298.5018,,4500779.622470887901319143,,,,
2017-09-06,3177,,0,,29.478960131821,,,,,,205218255.948577763364408207,4373,4373,6961516.11287869,,1848.354953034455377575,,312.205565,,8082856.209619673366136523,,,,
2017-09-07,2394,,0,,57.801738201524,,,,,,205218255.948577763364408207,3244,3244,3550382.0876993164,,1238.074268932191971772,,199.9941,,4016312.928416030756429553,,,,
2017-09-08,5064,,0,,52.309208214568,,,,,,205218255.948577763364408207,6919,6920,3923176.491350977,,721.588176414079948054,,187.67713500000002,,4993390.180785433240534171,,,,
2017-09-09,2657,,0,,79.970725758596,,,,,,205218255.948577763364408207,3750,3750,2566167.231845059,,926.266349113721380495,,184.701293895,,3473498.80917645517685471,,,,
2017-09-10,3405,,0,,64.459516534351,,,,,,205218255.948577763364408207,4430,4430,3183676.623438785,,880.93106799676393052,,349.2,,3902524.63122566421220388,,,,
2017-09-11,1757,,0,,180.955785110315,,,,,,205218255.948577763364408207,2422,2422,1134079.5533200104,,641.458159886405444089,,159.835,,1553611.663244873985583681,,,,
2017-09-12,1806,,0,,162.497634778033,,,,,,205218255.948577763364408207,2414,2414,1262899.9568449133,,717.394296668766505151,,139.45,,1731789.832158402343435056,,,,
2017-09-13,1482,,0,,73.637507757641,,,,,,205218255.948577763364408207,1910,1910,2786871.2860842803,,2081.810913697068732387,,129.8947675,,3976258.845161401278859942,,,,
2017-09-14,1820,,0,,106.251818912202,,,,,,205218255.948577763364408207,2435,2435,1931432.873804756,,1025.963772837175366971,,188.2551352,,2498221.78685852201857466,,,,
2017-09-15,2633,,0,,76.203145885585,,,,,,205218255.948577763364408207,3612,3612,2693041.784084625,,993.322573522201692946,,200,,3587881.135562192514921407,,,,
2017-09-16,1902,,0,,177.4289248991,,,,,,205218255.948577763364408207,2428,2429,1156622.326744532,,631.224725338172112307,,176.9078,,1533244.857846420060793125,,,,
2017-09-17,1137,,0,,219.445116741476,,,,,,205218255.948577763364408207,1492,1492,935168.9342458312,,739.809933413194839533,,166.41475214000002,,1103796.420652486700583958,,,,
2017-09-18,1747,,0,,180.547106440496,,,,,,205218255.948577763364408207,2320,2320,1136646.6070516235,,634.356652463802512784,,124.469340415,,1471707.433716021829657971,,,,
2017-09-19,1661,,0,,94.699476365486,,,,,,205218255.948577763364408207,1999,1997,2167047.4201626284,,1360.973040265252471645,,148.71753686,,2717863.161409709185874855,,,,
2017-09-20,1106,,0,,183.15716619661,,,,,,205218255.948577763364408207,1310,1310,1120448.9576361207,,1199.911231198835904504,,135.22895112999998,,1571883.712870475034900617,,,,
2017-09-21,1228,,0,,241.38997074449,,,,,,205218255.948577763364408207,1476,1478,850152.370935908,,734.102881032186849901,,146.42699487,,1085004.058165572164154162,,,,
2017-09-22,1611,,0,,157.467903532271,,,,,,205218255.948577763364408207,2068,2085,1303238.6368598694,,940.494036118383100944,,152.03231621,,1960930.0653068287654677,,,,
2017-09-23,1032,,0,,345.095679532386,,,,,,205218255.948577763364408207,1213,1219,594670.6033139969,,637.446478584268387341,,116.46891491,,777047.2573942231641688,,,,
2017-09-24,827,,0,,374.4839598384,,,,,,205218255.948577763364408207,1018,1019,548002.7930625791,,678.216265006263097706,,119.99,,691102.374041382096562662,,,,
2017-09-25,988,,0,,314.501571887858,,,,,,205218255.948577763364408207,1192,1214,652519.0151410517,,784.085140746446186398,,119.483885835,,951879.360866185670287053,,,,
2017-09-26,1109,,0,,200.547174838211,,,,,,205218255.948577763364408207,1425,1433,1023291.6824389806,,847.668544581928512121,,110.60093579,,1214709.024385903557869054,,,,
2017-09-27,1325,,0,,232.488159277772,,,,,,205218255.948577763364408207,1631,1641,882704.1195822242,,714.684563999355873591,,106.7840871,,1172797.369522942988562927,,,,
2017-09-28,1315,,0,,254.430603487852,,,,,,205218255.948577763364408207,1609,1612,806578.5056331716,,734.52788093769294321,,111.20019210000001,,1184058.944071561024454358,,,,
2017-09-29,907,,0,,364.923758960324,,,,,,205218255.948577763364408207,1043,1049,562359.2624751235,,683.624174816672345549,,120,,717121.759382689290481105,,,,
2017-09-30,737,,0,,518.692922691352,,,,,,205218255.948577763364408207,897,897,395644.9894935098,,647.208108350282955641,,88.50903943,,580545.673190203811209562,,,,
2017-10-01,776,,0,,511.902195894628,,,,,,205218255.948577763364408207,916,921,400893.4862838928,,617.696970708269549761,,113.63600675,,568898.910022316255329585,,,,
2017-10-02,899,,0,,230.264957379704,,,,,,205218255.948577763364408207,1089,1089,891226.6038387053,,1003.05253655761012986,,120.45062622072525,,1092324.21231123743141784,,,,
2017-10-03,854,502939480.8807015405001984346,0,0,323.535017587698,,0.0005690740294127671,2.45075409376213,,,205218255.948577763364408207,981,979,634299.9823595623,1554513.278440944149969187116,757.548103273354617879,1856.564115318910663555131984,112.09726691,274.7228357792286526601183,741639.593104614170903364,1817576.268897213539620040429,,,
2017-10-04,822,502939480.8807015405001984346,0,0,336.679496911704,,0.0005812040020861008,2.45075409376213,,,205218255.948577763364408207,955,956,609535.9468901593,1493822.717136234157100412007,808.334775171477105141,1981.029759381788474481534938,119.1286,291.954904134151279918,772768.045063932112514344,1893864.44996898978160323966,,,
