date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-07-31,2,,1000000,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-01,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-02,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-03,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-04,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-05,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-06,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-07,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-08,0,,0,,,,,,,,1000000,0,0,0,,,,,,0,,,,
2020-08-09,4,,10000000,,3.666666666667,,,,,,11000000,4,4,3000000,,1500000,,1500000,,6000000,,,,
2020-08-10,11,,150000001,,3.219999697042,,,,,,161000001,10,12,50000005.014881,,4166667.2520635,,1,,50000007.024762,,,,
2020-08-11,2375,247205817.1134966320109117,0,0,1.631870217368,,0.000134774670075979,1.5354398483109117,,,161000001,4215,4792,98659807.187167,151486199.3818474944048503102,22644.8889231,34769.86481310210860019219027,679.115063,1042.7403293183752427329371,108514307.719484,166617192.1843681074858198936,,,
2020-08-12,1496,273072108.509336521318239,0,0,4.131324960108,,0.00014652483388289737,1.696100042318239,,,161000001,2784,3256,38970548.808095,66097949.4825749279221293447,13246.65129622,22467.64582409369750309775658,1177.3155000000002,1996.844869371919046624508464,43131096.620497,73154654.80325701681828434478,,,
2020-08-13,1053,323537692.699993675853682,0,0,11.082455821619,,0.00017068498999882063,2.009550873853682,,,161000001,1897,2065,14527466.077142004,29193682.15020043577883623226,8480.68756149,17042.37310007228099963790618,1146.963089,2304.880677777868440743698,17512619.814468,35192500.45163147573901867118,,,
2020-08-14,729,299506416.8471664314439636,0,0,3.224847146273,,0.00015799420676141903,1.8602882918439636,,,161000001,1203,1322,49924847.19347099,92874608.70611304811202976322,39192.757248,72909.8274335370436689481728,2000,3720.5765836879272,51812825.081854,96386791.86713225115376579651,,,
2020-08-15,338,267635037.709954935444879,0,0,59.512456339317,,0.0001400810628741859,1.662329416444879,,,161000001,519,626,2705316.01119,4497126.38618046044678219601,6013.69225918,9996.73754388177543745173922,1201.756204,1997.714689304332962279316,3764571.354247,6257957.702470523369258051113,,,
2020-08-16,374,277673760.6077225804928003,0,0,71.96842089837,,0.00014493558906815461,1.7246817321928003,,,161000001,586,846,2237092.310631,3858272.241374267161509349989,4450.99444152,7676.548803381239376263388456,2441.042456,4210.0213313702475098295368,3765541.297528,6494360.287664115850321787658,,,
2020-08-17,276,266182017.6066154863149754,0,0,171.794437631148,,0.00013424296369008392,1.6533044469149754,,,161000001,370,468,937166.5533529999,1549421.630158495284128337825,3401.33257046,5623.438264178261894349666684,998.125,1650.204501077009821125,1591823.642973,2631769.107631657032416677864,,,
2020-08-18,255,270262224.06159118399344,0,0,22.646370861661,,0.00013997247528971027,1.67864734399344,,,161000001,433,601,7109306.9164809985,11934019.17298502090512086865,13740.79007092,23065.9407569212900536147648,2806.368228,4710.90257219977665642432,8258214.832623,13862630.39490982961400999312,,,
2020-08-19,208,256878731.8873599432244713,0,0,105.803269121621,,0.0001359410907606508,1.5955200639244713,,,161000001,297,392,1521692.1210150002,2427890.310195217436363507154,6550.17291446,10450.932307195559680435625,1497.9899995,2390.07309976045873072476435,2567667.782468,4096765.464420148828310309168,,,
2020-08-20,217,286383637.6441458427898478,0,0,83.220611563368,,0.0001498864375569851,1.7787803469898478,,,161000001,323,457,1934616.8932849998,3441258.508729913296514922625,5845.82110628,10398.43169586931433412482418,1811.797155,3222.789172046119057923009,2671540.24557,4752083.285012347801908924246,,,
2020-08-21,217,247207951.1452502007664416,0,0,109.95772880172,,0.00013323151519540122,1.5354531031664416,,,161000001,325,464,1464199.0404359999,2248208.960290782150371322221,5584.84499034,8575.267571121108560964174144,3117.327161,4786.5096629424835034002976,2591368.075516,3978924.152997491974825803866,,,
2020-08-22,205,248603950.3234809021618447,0,0,169.503567559697,,0.00013217648404222486,1.5441239054618447,,,161000001,275,368,949832.521627,1466659.102829355309436065327,5296.64624801,8178.678090327027676468304047,1708.320236,2637.8581145918202268993492,1949165.819268,3009753.53724084030459008368,,,
2020-08-23,174,246925368.7135945134943887,0,0,82.7539546136,,0.0001314717385807873,1.5336979327943887,,,161000001,281,398,1945526.3709359998,2983849.773301511962235980264,9849.90245608,15106.7750351162680337721983,2750.8961744999997,4219.043776162641509786648312,3920261.177521,6012496.463978053767043376413,,,
2020-08-24,266,294497357.9929231741406649,0,0,65.595577014492,,0.00015539144653637448,1.8291761252406649,,,161000001,525,868,2454433.79459,4489591.698047878227481622891,5468.62318218,10003.07496278128710377703148,3064.2138370000002,5604.986793272490707495446348,4746764.922131,8682669.067691889027683164902,,,
2020-08-25,205,269247923.209386874739376,0,0,77.377972265844,,0.00014723370729707446,1.672347338739376,,,161000001,423,582,2080695.5298189998,3479645.632019720275407985196,5975.71657533,9993.47371181390339014119408,3428.507161,5733.654826547243328671536,3477867.046841,5816201.700273919084883111216,,,
2020-08-26,357,335396948.1112311891945363,0,0,37.479470870774,,0.0001815901259679887,2.0832108448945363,,,161000001,870,1649,4295685.004601999,8948817.587837720390859311158,5400.47385579,11250.32570395114008796512018,3765.752693,7844.8568492484053727112559,8905381.388202,18551787.08582436697957908073,,,
2020-08-27,500,399331451.826579978156897,0,0,25.923525014662,,0.00021921264527167947,2.480319561156897,,,161000001,1251,2172,6210575.178682001,15404211.10172045789273123091,5303.05343458,13153.26716764904099410529826,3223.6729035,7995.7389613224999710404395,11518232.059907,28568896.28813183199633022858,,,
2020-08-28,603,390853209.9300239624277285,0,0,29.212377785765,,0.00021059024168963676,2.4276596739277285,,,161000001,1323,1984,5511362.415641999,13379712.28485499336422625527,4337.53341548,10530.05495707480330728313718,2291.445729,5562.8503912872261259965765,8605666.29631,20891629.03483077759120623184,,,
2020-08-29,535,460919714.991009087833253,0,0,26.798408901311,,0.00024914407488323554,2.862855354833253,,,161000001,1205,1764,6007819.404238,17199517.95229388213229152621,4868.126299,13936.741443096735689020647,2287.5529745,6548.9332825120608516610485,8587374.791442,24584411.90563981888756142083,,,
2020-08-30,488,463223154.121688333090223,0,0,17.122686769056,,0.0002459328467012894,2.877162430090223,,,161000001,985,1261,9402730.025463,27053181.56954342946617734825,11237.08004026,32330.90451575280250427237798,2261.04556,6505.39533795430911355988,14169957.930766,40769270.59435893243576750082,,,
2020-08-31,612,543451004.4400343897016294,0,0,3.043482652736,,0.00028903677050243416,3.3754720563016294,,,161000001,1363,1675,52899923.991773,178562215.2147099077289720949,33262.72515399,112277.3992737345577340029113,2544.439469,8588.6843265604560143707886,55715064.632925,188064643.783477536559990388,,,
2020-09-01,519,506434344.8681629967317272,0,0,26.222840016451,,0.0002627785330963775,3.1455549175317272,,,161000001,1136,1337,6139685.895921,19312719.16201448978387456475,5942.90596333,18693.73707738130794135476358,2776.724836,8734.3404625122787342167392,7945665.272977,24993526.47247387592564629587,,,
2020-09-02,585,580282240.5851983390761543,0,0,29.132711848028,,0.00031575898083872087,3.6042374967761543,,,161000001,1050,1192,5526433.716155998,19918579.62321743426936046532,5562.44511326,20048.37325097097449013073602,2748.785678,9907.2764112488641117581154,6630434.57501,23897660.91517210688122268404,,,
2020-09-03,475,469849195.253320605813681,0,0,41.789398604588,,0.00028439502555342873,2.918317964813681,,,161000001,825,932,3852651.781936,11243262.90739526905288146642,5601.66241084,16347.43204637588660187470204,2679.718026,7820.269255910854707113706,5220749.366902,15235806.66721975819313818626,,,
2020-09-04,633,464179996.6886072707869672,0,0,20.613517115122,,0.00027531653920492193,2.8831055515869672,,,161000001,1244,1442,7810409.068033002,22518233.74421113865891204269,7330.77856833,21135.40838780698236990266878,2832.67854,8166.911224535264931123888,10570982.695531,30477258.89521518910662528358,,,
2020-09-05,534,352295103.9210461484445827,0,0,30.734211032558,,0.00021603764760265285,2.1881683337445827,,,161000001,1197,1428,5238462.143357001,11462636.97961356418859787587,5407.41426551,11832.33266322770320866195268,2788.450474,6101.5990274218718247471998,7721787.571152,16896571.04309730016817079827,,,
2020-09-06,513,418045648.4214735488659425,0,0,24.852437182726,,0.0002532410864983251,2.5965568063659425,,,161000001,1068,1346,6478237.921546999,16821112.76845081688293090668,6284.09299113,16317.00442795511583018659002,2719.2473615,7060.68024469545554658571375,8458389.166058,21962687.96001984816814817966,,,
2020-09-07,374,390568417.253829346328811,0,0,42.821663982939,,0.00023398140800041445,2.425890775328811,,,161000001,688,802,3759779.1870990004,9120813.647256720836370519421,6655.47397754,16145.45292755523624752890494,2482.05,6021.18219890487534255,5337690.129984,12948653.24789182772693016902,,,
2020-09-08,295,343490162.3374685593253994,0,0,52.292184600937,,0.00021105511880879646,2.1334792559253994,,,161000001,545,659,3078853.9860910005,6568671.111348377740360847708,7671.42891641,16366.83445646699979093846415,2446,5218.4902599935269324,5055471.655913,10785743.90680921402191389665,,,
2020-09-09,454,396393318.9576462540923973,0,0,24.317009487815,,0.00024083375307801117,2.4620702887923973,,,161000001,914,1076,6620879.968018999,16301071.85492033506768405316,7764.01581743,19115.55266580862069072882494,1725.1089080000002,4247.339387317897637319206158,8354081.01956,20568334.66842317407716059119,,,
2020-09-10,451,368740114.8137508365095626,0,0,19.091572515679,,0.00022161520016512857,2.2903112579095626,,49.16320300199717,161000001,849,1003,8433040.330637,19314287.20766330116974804938,10526.90381577,24109.8863201891631275116822,1531,3506.4665358595403406,10558484.527217,24182215.97914902062040426528,,0.12903373640076463,
2020-09-11,340,383280691.790245955059755,0,0,62.946210754553,,0.0002291923217638319,2.380625400059755,,40.35878430884907,161000001,555,647,2557739.3630219996,6089019.294342830722187219586,4939.34453425,11758.72905788187048264410875,1310.788359,3120.496061538044758392045,3195755.913658,7607897.70044540410782063379,,0.12810724939827142,
2020-09-12,295,387330798.477997758063456,0,0,66.290029358084,,0.00023050555253906197,2.405781342063456,,19.717364380525964,161000001,544,667,2428721.220356,5842972.197006052331510910336,5334.73889226,12834.21529177937740406725056,2043.132623,4915.330343774569089725088,3558270.841137,8560421.599615834300349189472,,0.12457342597222654,
2020-09-13,415,377521989.800259371940387,0,0,35.164790929094,,0.0002271592831784062,2.344857064940387,,26.04804724197382,161000001,873,1079,4578443.287908001,10735795.09007997047515500534,7461.5279257,17496.2164718276360062652459,2410.327594,5651.873687611664751138878,8050988.631831,18878417.5731036606507056586,,0.12373945039685093,
2020-09-14,313,384201203.174106823035801,0,0,18.414833013446,,0.00022380245206252445,2.386342862035801,,43.55414988319973,161000001,612,734,8742951.993235,20863681.08217802096287980624,15692.33257472,37447.28582837495484714755072,3922.42,9360.23896890646655842,11518172.109844,27486307.79802607141323252504,,0.12164249680424309,
2020-09-15,345,326346372.322690179793131,0,0,33.430974667026,,0.00018804382961324755,2.026996088793131,,17.528704047671525,161000001,631,755,4815893.123175999,9761796.524723486237169615263,9854.89764239,19975.83897658117779232642309,3285.516834,6659.729772181990644067254,7440447.720004,15081758.42731787708496649252,,0.12565390390746944,
2020-09-16,333,293706966.3822029674082988,0,0,24.229073359951,,0.00016632143935444707,1.8242668606082988,,10.340649238096166,161000001,694,875,6644909.551766999,12122088.28702808122380154337,12764.44046966,23285.74574300816728796561441,3798.066897,6928.6875745704929557648236,11168885.410954,20375027.52513488277726082506,,0.12700024130694038,
2020-09-17,200,310424680.3908815902365093,0,0,90.697992937517,,0.0001763032169048895,1.9281035929365093,,14.860551254894443,161000001,373,424,1775121.9821469998,3422619.07167820843131838088,5502.26513685,10608.9371796497790369257977,3961.9947705,7639.13635219671058512461565,2332960.418025,4498189.364172663173812300132,,0.12734136332021678,
2020-09-18,286,331711798.853144438210079,0,0,50.544031243395,,0.00018867220042981288,2.060321719210079,,29.131670970175314,161000001,598,713,3185341.5139109995,6562828.304212346262749049364,6357.13978344,13097.75316787589010192529176,4118.366071,8485.159063739178274829609,4532640.665591,9338698.008691965889315691689,,0.12737935451237337,
2020-09-19,274,323583421.865891706938241,0,0,78.610212000175,,0.00018149493560543412,2.009834905938241,,12.989493578529624,161000001,551,707,2048079.9746430004,4116302.623190609721337985338,4058.2225658,8156.3573688110900473587578,2000,4019.669811876482,2869163.354023,5766544.659754264267256893543,,0.1260835549179462,
2020-09-20,259,302226873.8034785473148634,0,0,119.225733955263,,0.00017188426444345072,1.8771855399148634,,22.25612987096086,161000001,365,443,1350379.6173770002,2534913.091135870774684329285,4134.61072947,7761.431474537929163969404398,1813.4438,3404.17047880826156057692,1831632.553156,3438314.14322178559621497889,,0.12362190193547183,
2020-09-21,258,280825965.6225967256070564,0,0,27.610866342177,,0.0001668290058798486,1.7442606452070564,,12.961183946268292,161000001,540,653,5831037.643105999,10170849.48159070328175536797,11628.01422632,20282.28759687775394125060445,4122,7189.8423795434864808,7593093.289788,13244333.80076298735470766004,,0.12448540963244992,
2020-09-22,231,299214226.476073337829813,0,0,98.661701413524,,0.00017666367478026357,1.858473444829813,,21.175976383021215,161000001,415,476,1631838.886755,3032729.237274811956354826815,4798.18852327,8917.30595378447025494024851,2546.1123335,4731.8821593634186877986355,2283937.737078,4244637.634004158382049906414,,0.12493364487665205,
2020-09-23,265,282035486.9152420582730985,0,0,54.802330756475,,0.0001711836136533825,1.7517731997730985,,-4.231573132815869,161000001,434,522,2937831.270634,5146414.085351989886746239449,9331.93054301,16347.42582738893629389521648,2194.2062685,3843.75173593243550636794725,4871267.743452,8533356.281898391128509126022,,0.12123882193744938,
2020-09-24,262,317979352.9750867402450914,0,0,40.807814120277,,0.00018391090139855244,1.9750270248450914,,18.099092161911592,161000001,477,561,3945322.837569,7792119.225937295864909158807,9227.64465457,18224.8475684430982395130777,3908.25119,7718.901720132988029708766,5176708.651216,10224139.48590098242263224114,,0.12201760095336006,
2020-09-25,233,317413777.5086868971712594,0,0,56.591923129154,,0.00018453597013558137,1.9715141337712594,,-5.361757375496557,161000001,552,664,2844928.959784,5608817.65378932282983763197,5915.24366515,11661.98649054413184498738991,2508.2418534999997,4945.034265091870031031057769,3927721.793657,7743559.029716177608323821626,,0.11511983239081264,
2020-09-26,183,305880996.397396907400714,0,0,86.042803567412,,0.00017686432444132232,1.899881953400714,,-23.401726811582662,161000001,296,358,1871161.7279400001,3554986.3988073027574579445,6972.35891136,13246.65886832551251488671104,1434.949167,2726.234026430687371505238,2496104.490268,4742303.874862661348117251352,,0.11032621462724167,
2020-09-27,185,301531678.8587988186188277,0,0,203.001850424319,,0.00017407734418237105,1.8728675589188277,,-22.852960856383074,161000001,245,284,793096.2238200002,1485364.188693503985344727598,4590.56273853,8597.516030174409812489221281,1676.2388584999999,3139.373379083777050719424558,1303719.817743,2441694.552570431363175219881,,0.11030585779369285,
2020-09-28,166,288046368.238110258142872,0,0,155.052900726254,,0.00016677965085742702,1.789107866142872,,-37.50617322938138,161000001,230,271,1038355.2983910001,1857729.632202467320708505566,5317.19762823,9513.04010250251531672047656,1957.141211,3501.536735752486405097992,1440960.55725,2578033.867777591245235422,,0.1054768416268768,
2020-09-29,165,286834148.1016160178716613,0,0,123.336072167022,,0.000164334940565126,1.7815785485716613,,-38.078624621975415,161000001,204,234,1305376.425333,2325630.637184429740779215713,9750.12353539,17370.61093657451110912164341,1092.0488195,1945.57075081420613381883535,2281528.907281,4064722.959157972389111835925,,0.10542807139994781,
2020-09-30,167,297407025.376279008348015,0,0,44.52971571538,,0.00017148053028129357,1.847248593348015,,-45.27436273988973,161000001,346,407,3615563.189962,6678844.01681816644702062543,13492.72269818,24924.4130246478385505471127,2456,4536.84254526272484,5491538.138158,10144236.10102934275684505637,,0.10063207700184498,
2020-10-01,201,286475311.0136039889966102,0,0,64.69471377521,,0.00016775845597214026,1.7793497467966102,,-43.43288248189795,161000001,428,520,2488611.381131,4428110.030890607252771042136,6382.68950278,11357.03695065297485522747636,1999.232,3557.3329529876806033664,3318998.541445,5905659.214338479314870209739,,0.10024058617122845,
2020-10-02,169,264039421.7109284979561,0,0,86.27445878173,,0.0001551542101799376,1.6399963979561,,-54.49810398390753,161000001,288,334,1866137.4788489998,3060458.743403237422581249309,11381.05077836,18664.882281465868218109996,2490,4083.591030910689,3801270.959972,6234070.6820092063857132292,,0.09643154219821531,
2020-10-03,126,257284359.1581935071512672,0,0,267.472488044695,,0.00015139106504530894,1.5980394879512672,,-45.24107697588418,161000001,189,223,601931.0702829999,961909.6193370033888381638225,5154.89212338,8237.721169290195702569747136,1086.507204,1736.2814159355230137289088,1149540.943513,1837011.820750531092451969674,,0.08989603279021949,
2020-10-04,159,255659126.1328541721497472,0,0,278.343327365094,,0.00014888446035453876,1.5879448729497472,,-44.92241631335059,161000001,264,351,578422.3481270002,918502.8021078237778840180843,2700.8299962,4288.76914517467521296696064,1230.83962,1954.505464002415122744064,947991.328666,1505357.969955993410776813235,,0.08991993289186109,
2020-10-05,170,247522932.1059920251371585,0,0,108.604160921579,,0.00014271433322181115,1.5374095066371585,,-29.739888703799565,161000001,301,370,1482447.8144649998,2279129.363051969222600896375,5513.1621917,8475.98796515213245252028445,1494.001404,2296.891961438862117570534,2039870.01093,3136115.547107826416939142405,,0.07592316963144358,
2020-10-06,227,185977942.4742718443653997,0,0,53.659833644197,,0.00010901300216358438,1.1551424926653997,,-55.512527596802315,161000001,632,888,3000382.0374760004,3465868.785718517799870916223,6159.2153119,7114.77132825106327557366643,2955.814545,3414.3869813679442514986365,5469383.196967,6317916.93948671316021088271,,0.08343744551384988,
2020-10-07,594,198843639.5427021392847732,0,0,13.614891370553,,0.00011578055189108172,1.2350536540847732,,-49.08865367537534,161000001,1778,2028,11825287.225442998,14604864.19838536388763461636,8560.35110773,10572.49291585057250194581684,2611.378398,3225.1924326479411952093336,17360392.046471,21441015.63333824234206789538,,0.0847758023040208,
2020-10-08,220,202956766.6255185400112889,0,0,32.586585921729,,0.000115624639481168,1.2606010271112889,,-40.91336845154834,161000001,595,704,4940683.3040660005,6228230.447737196716240384223,8491.17835216,10703.98815211803756683569902,2102.079824,2649.8839852043173993251536,5977789.55992,7535607.659090291662394980888,,0.08269288383742411,
2020-10-09,227,220188345.058987582921479,0,0,62.55808981098,,0.0001234979826330203,1.367629463921479,,-44.45205442967766,161000001,511,609,2573608.0095550003,3519742.142451729664290571021,6104.73844533,8349.02016736751103565424307,3020,4130.24098104286658,3717785.713209,5084553.281930958137989116111,,0.079249138505842,
2020-10-10,148,204000893.103558308698584,0,0,125.47362966766,,0.0001121032132758384,1.267086284698584,,-44.67624082435448,161000001,238,286,1283138.1496370002,1625846.750778562313451270948,6407.92850494,8119.39832193857656965500496,2534.1178355,3210.945953172112455994932,1832667.552414,2322147.920075902719011581776,,0.07934528387982831,0.10749944628007656
2020-10-11,162,206836696.7379691033594356,0,0,98.648031430428,,0.00011290827299385475,1.2846999717594356,,-46.035190092183804,161000001,326,420,1632065.0160520002,2096713.880031567466136454603,6272.14120386,8057.819627470134406498141416,2890.262189,3713.1197525856645186605284,2634299.305622,3384284.243538484210706626943,,0.07884231884966102,0.1066777099799107
2020-10-12,178,212191201.1835345677402286,0,0,39.506428775898,,0.00011412469134107195,1.3179577631402286,,-45.21705941863333,161000001,391,431,4075286.124019999,5371054.984169810117072987832,11209.4330677,14773.55933197600266097727622,2848.435057,3754.1170961739295512340302,4831265.652177,6367404.072079416618683867662,,0.07909426189792594,0.10428484929658376
2020-10-13,223,214933334.1269084437703031,0,0,84.298237844792,,0.00011674624301823265,1.3349896446703031,,-43.06733384176479,161000001,510,596,1909885.723785,2549677.663756621803838829234,4528.51996183,6045.527254725806257346530673,1437.07,1918.473568666352475917,2698997.897248,3603134.243813002757130815869,,0.07931233064593532,0.10390537682534803
2020-10-14,184,220376757.915160067101617,0,0,83.366170951145,,0.00011989023108522065,1.368799730101617,,-42.64027387355867,161000001,470,555,1931239.0045399999,2643479.42817606735124436817,5066.22557732,6934.64820286952476809052644,2159.995699,2956.601529811853552945283,2811755.195414,3848729.752594502565912384438,,0.07944194974051479,0.10301849572054639
2020-10-15,372,225206888.142999261783843,0,0,15.978867486433,,0.00012160753397125357,1.398800538783843,,-30.991453485404325,161000001,1179,1364,10075808.009341,14094045.67214875140292387746,10309.58845299,14421.05788268209845037704057,3500,4895.8018857434505,14062278.649881,19670322.95198207511973667268,,0.07487110630290665,0.10293721036225723
2020-10-16,165,206141387.8082254032816405,0,0,89.824647688157,,0.00011291848759014955,1.2803812827816405,,-29.81392632683688,161000001,370,439,1792381.1018879998,2294931.214468927465010030708,5744.58040934,7355.25323355303067732672227,1730.82,2216.10953186411901021,2521870.799699,3228956.16952816718693012621,,0.07420709079097204,0.10340379053138982
