date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-09-04,2,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2020-09-05,2168,,351219.225892833205077922,,0.605418478663,,,,,,351219.225892833205077922,6158,6782,580126.372535582,,104.897500947314448109,,45.198552007092815,,711414.851424686587077476,,,,
2020-09-06,1749,,525448.730280375715493386,,0.895061698167,,,,,,876667.956173208920571308,3721,4363,979449.7496299593,,290.555247769461337981,,152.993198532318,,1267692.546018159817609115,,,,
2020-09-07,1675,,435269.101060695244428449,,0.855510501437,,,,,,1311937.057233904164999757,3850,4453,1533513.6798795639,,459.145910727895876722,,174.15326393012657,,2044576.740471320339042171,,,,
2020-09-08,1613,,663402.617943214423753729,,0.959118410203,,,,,,1975339.675177118588753486,3821,4438,2059536.8143955453,,652.55540012906417033,,211.08999233101133,,2896040.865772786787926073,,,,
2020-09-09,2044,,600197.241292785810722969,,1.018148307543,,,,,,2575536.916469904399476455,5013,5962,2529628.4415440536,,573.881539943509172016,,200,,3421481.741143201683562222,,,,
2020-09-10,2427,,625376.962281697948719638,,0.947870012494,,,,,,3200913.878751602348196093,5811,6703,3376954.473250997,,739.545254043299177163,,275.31121161440444,,4957171.837852234384524658,,,,
2020-09-11,1620,,498311.267660848297296268,,1.544122707175,,,,,,3699225.146412450645492361,3000,3383,2395680.815535446,,884.881665509958527406,,208.8995742198465,,2993554.67442018969821417,,,,
2020-09-12,1813,,588448.590228451948689009,,1.441610187476,,,,,,4287673.73664090259418137,3673,4162,2974225.4694720414,,1099.221956159183153542,,327.7439859830671,,4574961.78153452028504096,,,,
2020-09-13,1635,,538162.123790234324175844,,1.4783937906,,,,,,4825835.860431136918357214,3112,3395,3264242.511782128,,1353.868044516711775153,,299.831997827385,,4596382.011134236476645001,,,,
2020-09-14,1361,,565855.808894471694392746,,2.100193198291,,,,,,5391691.66932560861274996,2666,2827,2567236.039861703,,1353.480173062589952079,,316.28405392997286,,3826288.449247941794527943,,,,
2020-09-15,2439,,542306.61761072079938044,,1.006165811598,,,,,,5933998.2869363294121304,5009,5336,5897634.583222661,,1499.102927328785878512,,477.09302125437387,,7999213.220226401447741222,,,,
2020-09-16,1307,,525372.62843479755944637,,2.175170328949,,,,,,6459370.91537112697157677,2476,2696,2969593.1529609603,,1604.788978671329363227,,424.8732300918085,,4326511.086497903963259505,,,,
2020-09-17,774,,424684.307423309590824133,,2.329591004689,,,,,,6884055.222794436562400903,1472,1614,2955048.85146755,,2603.022606488901093116,,874.481357845,,4201278.486873086364289364,,,,
2020-09-18,1189,,685128.39382813627110464,,2.316911905732,,,,,,7569183.616622572833505543,2424,2545,3266927.671223966,,1606.543319992620099476,,810.03805890836,,4088652.749381218153165884,,,,
2020-09-19,1550,,997727.837696100618301548,,1.602713236221,,,,,,8566911.454318673451807091,2915,3148,5345255.321232755,,2342.364010001350977144,,1092.3204937860216,,7373761.903484252876049496,,,,
2020-09-20,895,,108024.266956841325393887,,2.077532642434,,,,,,8674935.721275514777200978,2104,2272,4175595.388533707,,2487.886707733982095364,,1270.453653870395,,5652478.599971607320667652,,,,
2020-09-21,676,,85934.33603797904159787,,2.73126747481,,,,,,8760870.057313493818798848,1534,1661,3207620.688238068,,2350.35271099607320755,,1429.9604350588727,,3903935.852964477597741197,,,,
2020-09-22,412,4338794.249188331057961979885,52458.999224193837959599,25825.51981118510065443540563,3.306703112278,,0.00004679721095014928,0.49229913252471075,,,8813329.056537687656758447,874,967,2665291.910789431,1312120.895606765633553147432,3671.000671492953959527,1807.230446073611893980676722,1229.3519362243046,605.2088917707986883538142349,3549857.649333686478862688,1747591.841353182701479353282,,,
2020-09-23,400,4346218.587127197134040094129,30741.330506894055598005,15107.13237174169308055611436,5.630267239839,,0.00004802238073586106,0.49142740807375807,,,8844070.387044581712356452,832,922,1570808.2778852093,771938.2405819319147533311195,2227.70412212218740418,1094.754862689733171905202613,1400,687.998371303261298,2053943.200596656786653529,1009363.983399933984496385004,,,
2020-09-24,282,4357413.779134978334904591848,22780.967898520061053597,11195.19200778120086449771835,11.630685044127,,0.000045760820714788884,0.49142740807375807,,,8866851.354943101773410049,477,534,762367.0765137256,374648.0764119085722264395288,2102.903522127819745053,1033.42442730845120719096689,1482.5434923670482,728.5625058105558282251188068,1122950.480816255743858261,551848.6441827129446399561709,,,
2020-09-25,408,4678447.216825050303356703797,33593.816604330059988341,17658.31874314373049841987581,4.689064166085,,0.00004920068420681826,0.5256419343810929,,,8900445.17154743183339839,1156,1253,1898128.2525248737,997735.8063605781951003722405,2231.713955205967263597,1173.082440399744343937727038,1294.3358158784952,680.3571819971023155847185834,2796337.585873076981287646,1469872.297820879662954289992,,,
2020-09-26,306,4687050.324477392061792355753,16366.859433449357391388,8603.107652341758435651955876,6.482047245018,,0.000048933201063326084,0.5256419343810929,,,8916812.030980881190789778,585,642,1375616.6368324296,723081.7899514116622815638103,2850.232745258865542473,1498.201853654202876957129183,1105.963535816928,581.3408123217631550174789606,1829849.422456191678267506,961845.5900459982470063928328,,,
2020-09-27,280,4706588.319217766156845645295,37169.779392465586720588,19537.99474037409505328954253,14.60723626184,,0.00004885681931549257,0.5256419343810929,,,8953981.810373346777510366,506,579,612982.6101166679,322209.3649236966011306489083,1636.802112623599999708,860.3718286785285817147668876,1000,525.6419343810929,947708.423209064399830804,498155.2888048680488127827458,,,
2020-09-28,323,4726648.849489733078100751946,38163.869660792590970973,20060.53027196692125510665037,5.136362591923,,0.00004900005189798908,0.5256419343810929,,,8992145.680034139368481339,995,1141,1750683.5857293026,920232.7064919785038032069428,2366.480902649338329441,1243.921599344512993292950406,1162.4002622859246,611.006322393063154637480035,2700154.709922895033892645,1419314.544852089325347500311,,,
2020-09-29,237,5120517.59969276308942537474,18188.722069186925238738,10336.53883583396279715615728,9.967825608843,,0.00005242010555033461,0.5682938469517242,,,9010334.402103326293720077,501,682,903941.8179738189,513704.5731568767735461678135,1972.356408123441974288,1120.878010732355806962116946,1212.9565051024433,689.3157184697861864073505677,1345147.07034018742646438,764438.8033194666603481432985,,,
2020-09-30,191,5131834.688552159433259818004,19914.149906954236920537,11317.08885939634383444326369,11.366719495534,,0.00005275485420955386,0.5682938469517242,,,9030248.552010280530640614,290,348,794446.3268894907,451478.9593046956817860712249,2883.455629451101977538,1638.6500921753721139281221,892.8863703030313,507.4218302702714094029360216,1003442.559048983488183312,570250.2320770294956470365006,,,
2020-10-01,210,5140604.87162869734200068418,15432.479382946625549267,8770.183076537908740866176754,15.456810107816,,0.000053579178840317396,0.5682938469517242,,,9045681.031393227156189881,349,413,585223.0161525586,332578.6391740285564037565115,2486.638790133418363838,1413.141524024301488341219827,849.2586991730541,482.6284932102719901185841749,1026981.820325101784265112,583627.4494220365146849340176,,,
2020-10-02,165,5174301.876625244653694855673,47229.783217420756613155,26876.00933485763399150842524,18.841431729303,,0.00005383559307160963,0.5690479079934542,,,9092910.814610647912803036,298,338,482601.9033611307,274623.6035013105778105543107,1817.98087532147956013,1034.518213873796631943057367,1102.8129239789232,627.5533872983504902148843645,614477.535858660091323808,349667.1562893432615966782758,,,
2020-10-03,160,5180218.722219670614365894107,10397.798693768368236806,5916.845594425960671038433917,36.05395638835,,0.00005390903635515241,0.5690479079934542,,,9103308.613304416281039842,212,250,252491.25270051893,143679.6191358768903889713832,1462.346853322154997612,832.1454176437829214103774335,577.8462525545244,328.8222011580092997549837942,365586.71333053874940289,208036.3544109457303525317631,,,
2020-10-04,241,5194144.494897439045275295173,24472.056714649445821781,13925.77267776843090940106654,5.706214950268,,0.00005335348357534941,0.5690479079934542,,,9127780.670019065726861623,669,795,1599620.8957377532,910260.9243021837766209854151,2894.5477033234714396,1647.136315163478939645713577,1496.6347,851.65684506541092858074,2301165.424142159794482022,1309473.370554965757018354813,,,
2020-10-05,240,5214858.715656146530648875842,36401.54100864520282309,20714.22075870748537358066883,8.865352995632,,0.00005282346207042084,0.5690479079934542,,,9164182.211027710929684713,553,624,1033707.5371440907,588229.1114889106646006178111,2350.008732211480923772,1337.267552831292746095054157,1334.993124639947,759.6750447620064955856078349,1466405.448899964096433511,834454.9529667266735631903107,,,
2020-10-06,223,5225681.464999315647194308278,19019.047765822928617634,10822.74934316911654543243588,9.798176889092,,0.00005370213737193229,0.5690479079934542,,,9183201.258793533858302347,426,485,937235.7085139914,533332.0192266496373992003151,2301.559250739678168754,1309.697476756395767979242881,1041.564073123155,592.699856851872508999890452,1116256.236608743911845508,635203.2762268519474698292307,,,
2020-10-07,174,5248252.752829142380863967574,39665.004497453266898046,22571.28782982673366965929599,13.222966740251,,0.000053345602129950336,0.5690479079934542,,,9222866.263290987125200393,354,405,697488.4263465914,396904.329862174299359611682,2162.965873147402255407,1230.831205175764287061386773,1157.8328894499614,658.8623835475168628229896427,876001.178624697913439729,498486.6380961845362598013239,,,
2020-10-08,146,5819321.020485201370186330053,11536.762238536285870392,7270.217989993388296441977552,23.405876031372,,0.000057801116250615584,0.6301783671772878,,,9234403.025529523411070785,239,276,394533.53564515983,248626.4992895490956841495769,1899.375710951925209157,1196.945484183884384980794433,761.1161967457735,479.6389620974388744472998431,524227.696222731357727347,330356.9536347520902547087161,,,
2020-10-09,146,6350257.254686924720464188431,18696.161887368340001865,12830.88349701410137452316976,12.757324100486,,0.0000619720006182835,0.6862843600901323,,,9253099.18741689175107265,301,328,725316.619263806,497773.4519141992269966311415,2583.130800746662248105,1772.762268619534143349039524,1399.19189051,960.243511221957806833014473,847266.902644905217378331,581466.0241072071990184101587,,,
2020-10-10,169,7648618.005128911627599072073,21808.157058780311563398,17984.25111360461840561177817,18.529546055503,,0.0000729600735173075,0.8246570796941263,,,9274907.344475672062636048,244,284,500546.9274149285,412779.5674118627445067443845,2345.02388316058044899,1933.840547300184312438487913,1083.9020144933638,893.847469946677951075165189,665986.782817604847513075,549210.7154332523447324604715,,,
2020-10-11,144,7307986.058694570833871745011,11762.040193922435698771,9255.936891743730247767777791,19.345161091184,,0.00006916108147996902,0.7869329418315001,,,9286669.384669594498334819,208,239,480051.28212149884,377768.1676698544905784429376,2970.151440976526997612,2337.310011132727522383837433,1053.530213743524,829.0576304095604391048455804,709866.194393389952429323,558617.0926607218778497804278,,,
2020-10-12,124,7332573.528653600425093806217,31244.682554278325163809,24587.46995902959122206120593,48.339810329538,,0.00006814215265795752,0.7869329418315001,,,9317914.067223872823498628,158,200,192758.59801067927,151688.0905958593808705726841,1523.863516951617717688,1199.178400344432552019547388,952.6842514208183,749.6986206071250237704558585,304772.703390323543537578,239835.680068886510403892165,,,
2020-10-13,129,7350971.044427878189495151684,23378.759226243044979926,18397.51577427776440134546767,33.736927751245,,0.00006881811018751547,0.7869329418315001,,,9341292.826450115868478554,189,203,276886.2919388171,217890.9442682289119998467125,1895.06369017851978945,1491.288044670241040828397495,1222.8782,962.32313942760954558782,384697.929106239517258384,302731.4730680589312881914473,,,
2020-10-14,135,7366260.520181376977139011148,19429.197763553029050979,15289.47575349878764385946341,31.26679814501,,0.00006892576771457065,0.7869329418315001,,,9360722.024213668897529533,152,186,299382.17468895327,235593.6954598900651647491829,2676.269177424606408887,2106.044376923714415768373418,919.1119204060001,723.2794473974932264680752238,497786.067000976792052951,391724.2541078108813328930608,,,
