date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-03-04,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2018-03-05,6,,4761925,,595344.81034181,,,,,,4761925,4,5,7.9986,,1.59972,,1,,7.9986,,,,
2018-03-06,13,,0,,0.67290353,,,,,,4761925,39,35,7076683.027092249,,272483.75918086,,240.42078099,,9536931.57133002,,,,
2018-03-07,10,,0,,1.5799097,,,,,,4761925,13,13,3014048.83168623,,331849.91012971,,999,,4314048.83168623,,,,
2018-03-08,2,,0,,69.96488894,,,,,,4761925,2,2,68061.6388051,,34030.81940255,,34030.81940255,,68061.6388051,,,,
2018-03-09,11,,1800000,,2.89318405,,,,,,6561925,17,17,2268063.45235311,,262182.17609663,,1381.11141022,,4457096.99364264,,,,
2018-03-10,4,,0,,3.27407655,,,,,,6561925,4,4,2004206.34399956,,501051.58599989,,7349.32028321,,2004206.34399956,,,,
2018-03-11,4,,0,,29963.12785388,,,,,,6561925,4,4,219,,54.75,,7,,219,,,,
2018-03-12,2,,0,,962.15909091,,,,,,6561925,1,1,6820,,6820,,6820,,6820,,,,
2018-03-13,2,,0,,1056.62278367,,,,,,6561925,2,2,6210.2815701,,3105.14078505,,3105.14078505,,6210.2815701,,,,
2018-03-14,6,,0,,177.35435571,,,,,,6561925,7,7,36998.95034323,,6408.34456323,,6000,,44858.41194263,,,,
2018-03-15,8,,17625,,6.11125957,,,,,,6579550,6,6,1076627.48144543,,346104.5802409,,38190.5,,2076627.48144543,,,,
2018-03-16,7,,0,,111.34733714,,,,,,6579550,9,9,59090.32195052001,,6565.59132784,,99,,59090.32195052,,,,
2018-03-17,6,,0,,1452.15685552,,,,,,6579550,8,8,4530.88106494,,1030.22714124,,468.076875,,8241.81712988,,,,
