date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-01-09,32,,100000000,,11.644789213013,,,,,,100000000,41,41,8587532,,209452.04878049,,1,,8587534,,,,
2020-01-10,17,,0,,2.370371100796,,,,,,100000000,16,16,42187487,,2636717.9375,,1783385,,42187487,,,,
2020-01-11,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-12,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-13,2,,0,,285.714285714286,,,,,,100000000,1,1,350000,,350000,,350000,,350000,,,,
2020-01-14,2,,0,,476.190476190476,,,,,,100000000,1,1,210000,,210000,,210000,,210000,,,,
2020-01-15,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-16,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-17,4,,0,,26.315907202743,,,,,,100000000,3,3,3799983,,1266661,,7,,3799983,,,,
2020-01-18,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-19,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-20,2,,0,,166.666666666667,,,,,,100000000,2,2,600000,,300000,,300000,,600000,,,,
2020-01-21,10,,0,,7.935807569999,,,,,,100000000,12,12,12601112,,1050092.83333333,,4.5,,12601114,,,,
2020-01-22,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-23,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
2020-01-24,2,,0,,133.331022262281,,,,,,100000000,2,2,750013,,375006.5,,375006.5,,750013,,,,
2020-01-25,0,,0,,,,,,,,100000000,0,0,0,,,,,,0,,,,
