date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-09-14,6,,1000000000,,62500000,,,,,,1000000000,5,5,16,,3.2,,2,,16,,,,
2020-09-15,6,,0,,99990000.999900009999,,,,,,1000000000,6,6,10.001,,2.00016667,,2,,12.001,,,,
2020-09-16,53,,0,,0.714281228031,,,,,,1000000000,14,96,1400008793.1146598,,14583424.928277706,,79999,,1400008793.114659776,,,,
2020-09-17,178334,,0,,4.768498699041,,,,,,1000000000,294007,294514,209709609.48381758,,881.49489192291718301,,400,,259612586.599786031236893986,,,,
2020-09-18,86131,6995452038.24067,0,0,6.858446750012,,0.0006406025412196853,6.99545203824067,,,1000000000,128553,130510,145805608.24478257,1019976139.382884867909649481,1411.313063969090858407,9872.77284993826172955585868,400,2798.180815296268,184190467.9786060479307176,1288495584.645442538324475235,,,
2020-09-19,41214,5678053001.46792,0,0,15.597391833523,,0.0005127475201176195,5.67805300146792,,,1000000000,61458,63757,64113283.21256286,364038620.1790553556049652735,1214.839820575300107719,6897.924889520332171953085641,400,2271.221200587168,77454542.440419408967824315,439790997.1811478182871222141,,,
2020-09-20,22758,5254967485.35677,0,0,25.550380631953,,0.0004811704552847561,5.25496748535677,,,1000000000,34982,36970,39138360.183543004,205670810.1947005108819075775,1336.538335239682833399,7023.465494617399753087878676,398,2091.47705917199446,49411822.253811074350771655,259657519.3360052688717147087,,,
2020-09-21,18384,4345573356.50123,0,0,26.521492914119,,0.0004156303618012327,4.34557335650123,,,1000000000,28235,29734,37705268.07213225,163851008.3339944032241258477,1558.09817074199645732,6770.82989758972410129719405,400,1738.229342600492,46328491.008842522661959311,201323856.1749328564279987143,,,
2020-09-22,14669,3918920404.62963,0,0,28.331281548584,,0.00037252664641469974,3.91892040462963,,,1000000000,23274,26013,35296673.68859185,138324854.7337763876476554865,1666.187547345795619821,6529.656377233236163565677024,347.21443037069264,1360.705715961561292302925767,43342536.669106181458394359,169855951.3409681723227974556,,,
2020-09-23,15469,4352970884.92621,0,0,26.670536949976,,0.00042537315121966184,4.35297088492621,,,1000000000,25785,28609,37494558.20389534,163212720.2047275851573104629,1711.201277534096153026,7448.809339354455606643441693,400,1741.188353970484,48955757.348972956841925192,213102986.3895916204504811936,,,
2020-09-24,15785,5148096335.73024,0,0,32.946689875248,,0.0004793813075367887,5.14809633573024,,,1000000000,23008,25094,30352062.79557914,156255343.2597751151722956112,1489.1767879303221923,7666.425565198620371167033698,400,2059.238534292096,37369402.316323505093573669,192381283.1330941795940525138,,,
2020-09-25,10538,4930314651.74057,0,0,51.451361276506,,0.00046148307118257573,4.93031465174057,,,1000000000,16770,18622,19435831.729035825,95824765.94242958400494413592,1320.822788954962186629,6512.071948737492780704331348,181.19451937362447,893.3459936828712926256350437,24596361.975919305839407461,121267803.8293895905622870185,,,
2020-09-26,11522,4872415565.12027,0,0,39.47637090755,,0.000453584227051512,4.87241556512027,,,1000000000,16872,20180,25331609.18823811,123426126.8983150147272515475,1426.462847543879048484,6950.319781438578982984933587,90,438.5174008608243,28786020.263435479198402203,140257453.1894305238766120021,,,
2020-09-27,9037,4832717206.036,0,0,86.553472309709,,0.00044918636793348237,4.832717206036,,,1000000000,13639,15940,11553551.501917286,55835047.1341387378950919383,950.509101569461760677,4593.541689648557782639292732,100,483.2717206036,15151115.079017220465192264,73221054.53299801105527459827,,,
2020-09-28,8429,4261445042.90827,0,0,46.022789404966,,0.00039724956211645106,4.26144504290827,,,1000000000,12746,14497,21728365.727699805,92594236.42080427882111471189,1725.302531933573625733,7352.281922225414531401163383,140,596.6023060071578,25011710.805441016852248097,106586031.0265018344617090119,,,
2020-09-29,7653,4325658376.16839,0,0,63.903659491662,,0.00039900391297514545,4.32565837616839,,,1000000000,10859,11937,15648556.091384422,67690307.73163790682044689482,1597.583532191652260931,6910.600587653503330761270032,163.49188113608605,707.21002507183741590376033,19070354.623771753038736491,82491839.21481986925931088025,,,
2020-09-30,7181,4164279396.05593,0,0,76.778303173273,,0.0003865710558105733,4.16427939605593,,,1000000000,10325,11476,13024512.898431772,54237710.70660412985777900101,1493.791898512807822448,6220.566824972156438011654023,174.40838609159408,726.2852487005928571736785369,17142755.827332982570414005,71387224.88338046728262489393,,,
2020-10-01,7308,4238178463.22974,0,0,54.40371213335,,0.00039957870924802906,4.23817846322974,,,1000000000,11768,13189,18381098.65644623,77902376.45625152170887644688,1767.00147526846392633,7488.867596977981874592401533,218,923.92290498408332,23304982.45731577072436187,98770674.73654260294398011202,,,
2020-10-02,6762,3895634816.69296,0,0,33.529521387585,,0.00036855211626485513,3.89563481669296,,,1000000000,10284,11381,29824463.893787615,116185219.9338411196034429057,3062.097085378762123594,11928.81201789554107193894845,175.1527386518482,682.3311069312625924431159287,34849726.92869569172862266,135761809.5756691529397346246,,,
2020-10-03,5554,3912896899.00195,0,0,44.319745238228,,0.0003706902322619323,3.91289689900195,,,1000000000,8354,9345,22563306.59449399,88287892.40482578239299627328,2663.536146691821431113,10422.14232877003108194984887,111.51429968619512,436.3439574364870110413209605,24890745.29083507127375065,97394920.06235594046082002687,,,
2020-10-04,5662,3728490906.01519,0,0,65.176667537826,,0.0003495803701596415,3.72849090601519,,,1000000000,8677,9615,15342913.925748674,57205915.04392774911309076636,2054.079989809379514578,7658.618562232045668651971902,148.64184907802897,554.2097825407133687370420801,19749979.102017184032672238,73637617.47586111910410648729,,,
2020-10-05,6600,3306447794.51683,0,0,63.501923194732,,0.000306930255270344,3.30644779451683,,,1000000000,10846,12158,15747554.557260387,52068467.03488706190156516381,1959.099693124625655209,6477.660859570516959139202936,200,661.289558903366,23818734.069009198716025013,78755400.73065834518919456086,,,
2020-10-06,7245,2703810043.75681,0,0,31.179115197041,,0.00025516371531781305,2.70381004375681,,,1000000000,11863,12934,32072751.06045722,86718626.44817611033792508867,3483.605085156176155165,9419.006417727566476309298998,275.3570049443143,744.5130355872305950004214054,45056948.171409982390897953,121825429.0068883448045678259,,,
2020-10-07,6617,2964421068.3312,0,0,39.670132046415,,0.00027790072616989064,2.9644210683312,,,1000000000,11529,13259,25207881.8096694,74726775.92458678593028170528,2646.564798063214538289,7845.532446082301034226340928,344.137997903978,1020.169931399870729114301514,35090802.657520161563176021,104023914.7026052294128134872,,,
2020-10-08,6056,3311910206.72365,0,0,53.0726692263,,0.0003037744817041285,3.31191020672365,,,1000000000,10528,11892,18842089.809653863,62403309.55659630448778179596,2134.175026567564704802,7068.196053423834452374739208,200,662.38204134473,25379609.415941479469499794,84054987.46731623930762188508,,,
2020-10-09,5361,3419839392.17125,0,0,53.315061463513,,0.0003088141027987773,3.41983939217125,,,1000000000,9212,10453,18756425.90573325,64143964.16876788493054081906,2358.021260819817001416,8064.053995328927536589150241,200,683.96787843425,24648396.23934954711579628,84293556.41317327953994871373,,,
2020-10-10,4916,3303337545.04313,0,0,111.957469618363,,0.000292256934516614,3.30333754504313,,,1000000000,7952,9207,8931963.212537453,29505289.43091901878692962535,1339.162465329792331152,4423.705650636421891677148645,151.74702,501.2716285144107489726,12329668.818291397992913926,40729057.9254095363566631237,,,
2020-10-11,4373,3359470111.04641,0,0,135.465857955095,,0.00029525334844776553,3.35947011104641,,,1000000000,7183,8534,7381933.832593346,24799386.07231961905365206319,1176.626488954999162467,3952.841521509798545690321035,127.38908607447476,427.9598271407164037286147336,10041330.456741962852490718,33733549.54456462078891226352,,,
2020-10-12,5364,3443647977.89385,0,0,77.30273181261,,0.00029819260795433154,3.44364797789385,,,1000000000,8191,9486,12936153.439235648,44547558.63274841241314487996,1770.47546113488322972,6096.894241647822249091919651,106.33535964826405,366.1815462313597885659276711,16794730.224325502317120623,57835138.77627124185487459611,,,
2020-10-13,5361,3351448110.53139,0,0,95.520783980995,,0.00029308764838526094,3.35144811053139,,,1000000000,7300,8400,10468925.801519435,35086061.59679562804068726256,1466.313326801065500384,4914.27302855442755597697927,163.77921623633597,548.8975447995801376973432711,12317031.945128950203226643,41279893.43985719147021012143,,,
2020-10-14,5265,3105061725.25967,0,0,73.371801140405,,0.00027196569343830834,3.10506172525967,,,1000000000,8574,9990,13629214.282015359,42319551.61244834516564520327,1946.042094658153040836,6042.580823867186717012108202,175.59019109890298,545.2183817122348376090926368,19440960.525634948877948491,60365382.4304331953029411831,,,
2020-10-15,4924,3082208809.6173,0,0,59.969102618381,,0.0002679580126898663,3.0822088096173,,,1000000000,7611,8676,16675253.694616646,51396613.84015085628492146958,2589.167329271665153888,7980.354351854422883771333099,182.84591276814888,563.5692831365048345112622236,22463615.748760966875135143,69237554.35668897293960888567,,,
