date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-16,4,10.0481255558428,10,10.0481255558428,99.00990099,,0.0001930118527151635,1.00481255558428,,,10,10,0.1,2,2,0.101,0.10148606811401228,0.0505,0.05074303405700614,0.0505,0.05074303405700614,0.101,0.10148606811401228,,,
2019-04-17,16,10.0403254682893,0,0,395.67918332,,0.00019210962168023663,1.00403254682893,,,10,10,0.1,23,23,0.025273,0.02537491455600754789,0.00109883,0.0011032610834320331519,0.00001,0.0000100403254682893,0.025273,0.02537491455600754789,,,
2019-04-18,11,50204697.379588088073234,50000001.1,50204687.840697608196279,1.00000021,,0.00019022322434097125,1.00409373472389,,,50000010.6,50000010.6,50000000.1,9,9,50000000.001712,50204686.73791350847384729968,5555555.55574578,5578298.526434836506191332684,0.0001,0.000100409373472389,50000000.001712,50204686.73791350847384729968,,,
2019-04-19,7,50266308.779974702186134,0,0,66934418473.89556441,,0.0001900444674873996,1.00532596247039,,,50000010.6,50000010.6,50000000.1,16,15,0.0007470000000000002,0.0007509784939653815310651924941,0.00005247,0.0000527494532508213633,0.00001,0.0000100532596247039,0.000787,0.00079119153246419693,,,
2019-04-20,0,50236607.100488947470066,0,0,,,0.00018907357629503258,1.00473192900661,,,50000010.6,50000010.6,50000000.1,0,0,0,0,,,,,0,0,,,
2019-04-21,2,50360049.422933714280366,0,0,50000010.6,,0.00019019097402031513,1.00720077493211,,,50000010.6,50000010.6,50000000.1,1,1,1,1.00720077493211,1,1.00720077493211,1,1.00720077493211,1,1.00720077493211,,,
2019-04-22,26,50260422.048171216531236,1000,1005.18812410106,98.61485615,,0.00018670606796425708,1.00518812410106,,,50001010.6,50001010.6,50001000.1,27,27,507033.245824,509663.79722669817399897344,18779.009105,18876.4369347316756801513,0.01,0.0100518812410106,507033.245835,509663.7972377552433640851,,,
2019-04-23,35,50214797.917936434444354,0,0,1.01024346,,0.0001811182191743412,1.00427565993909,,,50001010.6,50001010.6,50001000.1,349,361,49494020.605004005,49705640.20612931562896750606,137102.57262662,137688.7766039458163705125758,0.101995,0.10243109593548748455,49494028.718211,49705648.35402562475503376799,,,
2019-04-24,31,100369365.75635950629726,49900000,50133940.79961729,1.99681674,,0.0001849590988796008,1.0046881923771,,,99901010.6,99901010.6,99901000.1,103,99,50030134.651697,50264685.5475963724389789387,505355.1221393,507724.32417064190570433003,0.000001,0.0000010046881923771,50030157.091791,50264708.0928938500711863861,,,
2019-04-25,39,104413926.7188664653661026,6500000,6378609.7504663365,7.32282911,,0.00019137814462047672,0.981324576994821,,,106401010.6,106401010.6,101401000.1,44,42,14530041.460361999,14258686.78980694985082620821,345953.46358007,339492.6363076054053925088175,0.02,0.01962649153989642,14530045.470363,14258690.72491948590595999002,,,
2019-04-26,24,103279961.3169609240879336,0,0,6.17491441,,0.00018847302418645003,0.970667108653956,,,106401010.6,106401010.6,101401000.1,41,41,17231171.735623,16725731.64733694613182507459,421492.05501715,409128.4743641111392329953454,1,0.970667108653956,17281174.255703,16774267.44892841110848651107,,,
2019-04-27,16,129393192.6975649617966024,26000000,25409345.403717704,4.27098093,,0.0001885987593719197,0.977282515527604,,,132401010.6,132401010.6,132401000.1,19,20,31000140.907667,30295895.68795498688595373987,1550009.11328335,1514796.805320263203829998593,4.659273,4.553426037969846071892,31000182.265667,30295936.10640526407659997187,,,
2019-04-28,91,133788581.7791630785268032,5501000,5336912.675638509472,27.37200265,,0.0001884314661609002,0.970171364413472,,,137902010.6,137902010.6,132411095.1,394,404,5038067.999187,4887789.304779102732827847264,24847.67688134,24106.50458247471260324141248,0.997002,0.967262790662960410944,10038461.460063,9739027.851321374972747168736,,,
2019-04-29,231,135611756.3594852755746094,0,0,6.17318113,,0.0001909944196451998,0.983392162082699,,,137902010.6,137902010.6,134411195.1,3866,3957,22338889.421595987,21967888.76682961096273046053,7356.27073171,7234.09897972197509026168529,26.126466,25.692561887320124611734,29108763.285381,28625329.66276431019865972332,,,
2019-04-30,179,136556287.839671610920202,0,0,100.81560267,,0.00018802225991845046,0.99024145656417,,,137902010.6,137902010.6,134411195.1,3646,3695,1367863.7725889997,1354515.414549891657093099161,374.55141443,370.8963381833332815589731,61.21683,60.6194429054411789811,1383967.476302,1370461.96957073090681729934,,,
2019-05-01,127,136142122.4989297385329622,0,0,3.40367297,,0.0001857395221712157,0.987238125873487,,,137902010.6,137902010.6,94411195.1,2534,2552,40515646.420448005,39998590.84067594056104849154,15882.32333955,15679.63512825408331064351085,83.542892,82.476728128131130104404,40531689.162524,40014428.84729691759900560119,,,
2019-05-02,96,135300562.1933221129930316,0,0,314.44100755,,0.00018192323251614226,0.981135529530286,,,137902010.6,137902010.6,94411195.1,2019,2024,438562.4243989999,430289.176494798787742295161,217.65565479,213.54969611764778046596994,110.835584,108.744729398638494497024,440535.045301,432224.584948045166261486086,,,
2019-05-03,95,135388313.8655295171507964,0,0,194.07732582,,0.00017350604243026067,0.981771863053094,,,137902010.6,137902010.6,94411195.1,3127,3138,710551.889651,697599.852498558731842130194,227.04973153,222.91103792991291883585382,122.15217,119.92556351687825731398,712482.057547,699494.837029819922424400418,,,
2019-05-04,77,136530383.4726785861566104,0,0,152.96014758,,0.00017144639193743112,0.990053610376284,,,137902010.6,137902010.6,94411195.1,3453,3469,901555.161777,892587.942870693647464096668,260.02493353,257.43862422922976538840252,140.80743,139.40690443930588299012,902026.494425,893054.5874605342616782167,,,
2019-05-05,145,136472456.122399682298236,0,0,231.50124007,,0.00017276061250086523,0.98963354869606,,,137902010.6,137902010.6,94411195.1,3005,3041,595685.839778,589510.69152749475797987468,198.72958262,196.6694620791174490384772,115.08689,113.8938473590931006534,604336.660739,598071.83417426344804598834,,,
2019-05-06,118,136451289.8600268863468152,0,0,157.33206549,,0.000173846492634376,0.989480060996492,,,137902010.6,137902010.6,94411195.1,3029,3062,876502.8932099999,867282.1362370324147126132204,287.43338908,284.40960735930681755110736,158.214126,156.549723044986670845992,880121.037371,870862.217742152895031902532,,,
2019-05-07,113,135998637.3416502428304694,0,0,48.22913336,,0.0001692826681645741,0.986197639540799,,,137902010.6,137902010.6,94411195.1,3361,3370,2859309.321666,2819844.103744012368421651134,850.75270093,839.01030549012531418024307,121.573988,119.895979995161423136412,2867036.602148,2827464.729515430455977036252,,,
2019-05-08,84,136875491.2760240648191472,0,0,147.30924157,,0.00016732797278919871,0.992556168546712,,,137902010.6,137902010.6,94411195.1,3826,3830,936139.5736780001,929171.1084747881837642635907,245.1527,243.3278246208815229224,92.754842,92.064390589675641179504,938934.841005,931945.56830293901363552556,,,
2019-05-09,96,137263466.1845200572271732,0,0,83.09822996,,0.0001618450159925227,0.995369578639922,,,137902010.6,137902010.6,93411195.1,3101,3105,1659505.9925889997,1651821.780593738152620664466,536.29310477,533.80984172241044325062794,77.463375,77.10468693377626785675,1665190.090319,1657479.558556196688359115118,,,
2019-05-10,98,63592647.2572447935200484,0,0,1.5605398,,0.00015653393628887828,0.995158785461514,,,63902010.6,63902010.6,63411195.1,4082,4091,40948657.908603005,40750416.67060438640917993225,10013.58576305,9965.1078460715459140982577,81.886932,81.490499794289585535048,40965579.356656,40767256.19829705501416773718,,,
2019-05-11,117,64172564.12749127984343,0,0,50.64717954,,0.00013709522478402126,1.00423388129655,,,63902010.6,63902010.6,63411195.1,6165,6196,1261709.1647680001,1267051.09160239705784333853,203.80038509,204.6632517286622384884395,74.239735,74.55405722547732841425,1262747.186031,1268093.50772420779432849305,,,
2019-05-12,94,63909571.866966163971828,0,0,43.73551344,,0.00014405481916895753,1.00011832596338,,,63902010.6,63902010.6,63411195.1,7019,7036,1461101.1870339997,1461274.073239551159579317131,207.8656262,207.890222100473701968556,77.014416,77.02352880496734808608,1462542.545953,1462715.60270873412664520114,,,
2019-05-13,77,64006587.498962178817812,0,0,53.29151606,,0.00012843295631490107,1.00163651969602,,,63902010.6,63902010.6,63411195.1,5679,5688,1199102.883935,1201065.2394221140115414387,213.91512891,214.2652052317378723139382,66.281036,66.38950622088661067672,1216749.253229,1218740.48734702688508344858,,,
2019-05-14,134,64060907.994592533278514,0,0,32.84554836,,0.00012601084914220967,1.00248657895269,,,63902010.6,63902010.6,63411195.1,9960,10039,1945530.3317999998,1950368.046574873671705226209,194.29574029,194.7788719884024364368801,65.58788,65.7509694419595573972,1950534.936727,1955385.09584715187907644563,,,
2019-05-15,143,38026063.499839994727172,0,0,1.32211744,,0.00012212388679761946,1.00327298995162,,,37902010.6,37902010.6,37411195.1,7729,7783,28667658.088315997,28761487.04517553307670830207,3684.14161348,3696.1997719612651339398376,61.653152,61.85494214698170050624,28673674.177747,28767522.82520679179681060014,,,
2019-05-16,181,37924860.356184464031018,0,0,13.46381338,,0.00012726961983683746,1.00060286395953,,-0.41895292822074526,37902010.6,37902010.6,37411195.1,13826,13984,2815102.19449,2816799.3181454518335489897,201.87057902,201.9922795165806109470606,69.544452,69.58637784369606402756,2822958.17698,2824660.0367241617532976194,,0.006710456191094094,
2019-05-17,137,37893775.4213416096069218,0,0,14.93338882,,0.00013645332983649224,0.999782724490653,,-0.42327535613256106,37902010.6,37902010.6,37411195.1,12218,12229,2538071.6360939997,2537520.175286508202585612035,208.33348431,208.28821854608250951715443,76.72189,76.70522021227218549417,2547710.179683,2547156.624656040839284002999,,0.006710602872203638,
2019-05-18,74,37965843.115421724927144,0,0,24.86693973,,0.00013763202219893228,1.00168414589124,,-0.23997648320280346,37902010.6,37902010.6,37411195.1,5957,5985,1524192.8040689996,1526759.767117429980029797204,287.02713635,287.510531922358235750574,85.86097,86.0055723998433809028,1717857.411047,1720750.53354755098883652828,,0.0067209072946068,
2019-05-19,92,38108307.960010387296492,0,0,27.96427736,,0.0001223204836723189,1.00544291336382,,0.01163313172004605,37902010.6,37902010.6,37411195.1,6689,6750,1355372.4312379998,1362749.605956938313138426487,201.12139877,202.2160851191154043105014,61.592276,61.92751742214848985432,1357569.441689,1364958.57454548271433229198,,0.006753449306887477,
2019-05-20,87,38158476.222646842785296,0,0,16.61135567,,0.00012614321041181848,1.00676654400616,,0.20250326886313758,37902010.6,37902010.6,37411195.1,7357,7371,2281692.7987380004,2297131.973469199451818843682,311.33152598,313.4381644510486153200368,72.931058,73.42454921337280731728,2294824.677988,2310352.71015802775348840608,,0.006756628247184955,
2019-05-21,106,38134122.704115640712972,0,0,6.64923928,,0.00012602055872144193,1.00612400504462,,-0.10690717424859171,37902010.6,37902010.6,37411195.1,7320,7347,5700202.533716001,5735110.602787833495758412965,776.37355309,781.1280686456327133888758,85.649032,86.17354710403481980784,5704016.49457,5738947.9203573423688377134,,0.006742534763717396,
2019-05-22,96,37881517.80955501849819,0,0,28.87397094,,0.00013034325514878298,0.99945932181115,,-0.5699233956860849,37902010.6,37902010.6,37411195.1,6261,6276,1312670.525084,1311960.7927619408043858866,210.41922037,210.3054512870311193731255,72.400818,72.3616724568525015207,1320591.027043,1319877.01227828682938892945,,0.006841836364516734,
