date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-18,2,,70000000,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-19,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-20,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-21,4,,0,,1.999999485714,,,,,,70000000,3,3,35000009,,11666669.666666666666666667,,9,,35000009,,,,
2017-07-22,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-23,574,,0,,5.833323611127,,,,,,70000000,14,576,12000019.999999993,,20833.368055555555555556,,3032.2524,,12000020,,,,
2017-07-24,18,,0,,1010.491092132437,,,,,,70000000,10,10,69273.24797319999,,6927.32479732,,4211.125,,69273.2479732,,,,
2017-07-25,14,,0,,13.423274685994,,,,,,70000000,15,15,5214822.883199999,,347654.85888,,5000,,5214822.8832,,,,
2017-07-26,63,,0,,108.711691894759,,,,,,70000000,68,67,643904.98188332,,9610.522117661492537313,,823,,643904.98188332,,,,
2017-07-27,94,,0,,44.182181638868,,,,,,70000000,113,113,1584349.1064375,,15024.955897676991150442,,411.46354,,1697820.0164375,,,,
2017-07-28,76,,0,,60.302107187182,,,,,,70000000,91,91,1160821.78990387,,12756.283405537032967033,,812.92708,,1160821.78990387,,,,
2017-07-29,27,,0,,1883.711873303028,,,,,,70000000,49,49,37160.67249566,,758.38107134,,121,,37160.67249566,,,,
2017-07-30,0,,0,,,,,,,,70000000,0,0,0,,,,,,0,,,,
2017-07-31,27,,0,,722.613148527024,,,,,,70000000,27,27,96870.64253215998,,3587.801575265185185185,,500,,96870.64253216,,,,
2017-08-01,25,,0,,7.105987596123,,,,,,70000000,20,20,9850847.47941192,,492542.373970596,,1409.326,,9850847.47941192,,,,
2017-08-02,22,,0,,33.417722487938,,,,,,70000000,19,19,2094696.9089609901,,110247.205734788947368421,,4508.5,,2094696.90896099,,,,
2017-08-03,151,,0,,1299.80547664456,,,,,,70000000,21,164,53854.212232360005,,328.379342880243902439,,88,,53854.21223236,,,,
2017-08-04,18,,0,,166.430137225099,,,,,,70000000,19,19,420596.90130114,,22136.679015849473684211,,999,,420596.90130114,,,,
