account,day_of_week,hour_of_day,roas,conv_rate
Account 2,Monday,19,0.530237067,0.024745051
Account 2,Monday,18,0.583845792,0.024352769
Account 2,Monday,17,0.632289164,0.023761032
Account 2,Monday,20,0.641516664,0.026457836
Account 2,Sunday,18,0.920442904,0.023626275
Account 2,Sunday,19,0.753764422,0.027182718
Account 2,Sunday,17,0.775704898,0.025214846
Account 2,Monday,16,0.704066317,0.029603662
Account 2,Monday,9,0.775621113,0.033631841
Account 2,Monday,10,0.800617706,0.030340053
Account 2,Sunday,16,0.822137118,0.029577321
Account 2,Monday,11,0.623439216,0.033498248
Account 2,Monday,13,0.70538753,0.028017018
Account 2,Monday,8,0.741844654,0.034443049
Account 2,Monday,14,0.733350832,0.031855811
Account 2,Monday,12,0.570537132,0.028046319
Account 2,Sunday,20,0.493518728,0.019840414
Account 2,Monday,15,0.667490899,0.034346538
Account 2,Sunday,14,0.712499748,0.027175129
Account 2,Sunday,15,1.042703853,0.025675524
Account 2,Monday,7,0.702147487,0.031467719
Account 2,Sunday,13,0.839305843,0.028132992
Account 2,Sunday,12,0.70617146,0.025539359
Account 2,Sunday,11,1.073867962,0.030851064
Account 2,Sunday,9,0.881552776,0.034819478
Account 2,Sunday,10,0.642706337,0.029850746
Account 2,Sunday,8,0.514362729,0.025121443
Account 2,Tuesday,19,0.952794137,0.02801479
Account 2,Monday,21,0.705511128,0.028085842
Account 2,Wednesday,19,0.771833816,0.027489399
Account 2,Wednesday,18,0.783639567,0.031348433
Account 2,Tuesday,18,0.70187353,0.030494217
Account 2,Monday,6,0.765570507,0.03063391
Account 2,Sunday,21,0.533829705,0.020610687
Account 2,Sunday,7,0.76813135,0.031548757
Account 2,Thursday,19,0.687362959,0.025653437
Account 2,Thursday,18,0.586278433,0.024719467
Account 2,Tuesday,17,0.834673008,0.033760972
Account 2,Wednesday,17,0.689330801,0.024024536
Account 2,Wednesday,20,0.562588905,0.02433936
Account 2,Tuesday,20,0.52730046,0.020877193
Account 2,Wednesday,16,0.623592566,0.024247788
Account 2,Tuesday,9,0.780627078,0.032606769
Account 2,Thursday,17,0.540983704,0.02455516
Account 2,Wednesday,12,0.422727907,0.01963234
Account 2,Tuesday,8,0.781023548,0.030935252
Account 2,Tuesday,10,0.764065858,0.026563065
Account 2,Wednesday,13,0.696718281,0.026555111
Account 2,Sunday,6,0.874040834,0.029988893
Account 2,Wednesday,14,0.728234065,0.025660377
Account 2,Thursday,11,0.557203619,0.027316141
Account 2,Thursday,20,0.525659583,0.020057307
Account 2,Thursday,12,0.463778418,0.022540592
Account 2,Wednesday,11,0.854397088,0.037471176
Account 2,Wednesday,15,1.15646154,0.026865095
Account 2,Thursday,10,0.434617026,0.028874484
Account 2,Tuesday,16,0.720063075,0.028661791
Account 2,Tuesday,12,0.630470201,0.029301128
Account 2,Saturday,19,0.46321033,0.016451933
Account 2,Thursday,9,0.58527812,0.021293532
Account 2,Tuesday,13,0.918645441,0.03055722
Account 2,Thursday,13,0.492227566,0.027113878
Account 2,Tuesday,7,0.675206592,0.035020243
Account 2,Thursday,8,0.807974413,0.030775461
Account 2,Tuesday,11,0.554049655,0.029590596
Account 2,Thursday,16,0.596928069,0.020782396
Account 2,Wednesday,10,0.844111634,0.031631176
Account 2,Thursday,14,0.853641071,0.028949545
Account 2,Tuesday,14,0.636420431,0.028790389
Account 2,Tuesday,15,0.816789353,0.034540158
Account 2,Saturday,18,0.519240516,0.020698307
Account 2,Friday,10,0.63241539,0.031464041
Account 2,Thursday,15,0.611503912,0.023195318
Account 2,Saturday,12,0.549805557,0.023537176
Account 2,Friday,18,0.616306599,0.018041804
Account 2,Saturday,13,0.659820295,0.026449196
Account 2,Saturday,11,0.573909788,0.02718232
Account 2,Saturday,14,0.66563798,0.019451813
Account 2,Saturday,16,0.569329178,0.022029372
Account 2,Saturday,17,0.505390374,0.022073579
Account 2,Friday,19,0.653760395,0.024564538
Account 2,Thursday,7,0.765595923,0.026026475
Account 2,Saturday,20,0.801401138,0.016389762
Account 2,Sunday,22,0.915929893,0.024960648
Account 2,Friday,11,0.647366226,0.024548402
Account 2,Saturday,15,0.404703545,0.022652966
Account 2,Friday,17,0.543160665,0.023753528
Account 2,Saturday,10,0.650860957,0.030903515
Account 2,Wednesday,9,0.687805572,0.033729216
Account 2,Monday,22,0.516982958,0.025005954
Account 2,Tuesday,6,0.503002308,0.021671827
Account 2,Friday,8,0.518108219,0.027970356
Account 2,Wednesday,8,0.448374632,0.026201923
Account 2,Friday,9,0.474781784,0.024531025
Account 2,Friday,12,0.845839822,0.032055917
Account 2,Saturday,9,0.742166228,0.029547106
Account 2,Monday,5,0.837395017,0.024177468
Account 2,Friday,20,0.699109699,0.024956326
Account 2,Saturday,8,0.822628299,0.03379224
Account 2,Friday,13,0.660113567,0.02162434
Account 2,Tuesday,21,0.657415582,0.026767677
Account 2,Friday,7,0.586349177,0.022154316
Account 2,Sunday,5,0.948531512,0.033265097
Account 2,Wednesday,21,1.059095025,0.028556728
Account 2,Friday,14,0.545653003,0.019597731
Account 2,Wednesday,7,0.798915593,0.034373347
Account 2,Friday,16,0.329299043,0.021253985
Account 2,Friday,15,0.60141683,0.027770288
Account 2,Thursday,21,0.497357477,0.022930649
Account 2,Wednesday,6,0.85228137,0.033371692
Account 2,Saturday,7,0.590033493,0.02676753
Account 2,Saturday,21,0.56076784,0.020921771
Account 2,Thursday,6,0.95904804,0.032894737
Account 2,Friday,6,0.590088514,0.028124001
Account 2,Friday,21,0.323747742,0.02306425
Account 2,Tuesday,5,0.705053565,0.029656781
Account 2,Saturday,6,0.629312261,0.028252529
Account 2,Sunday,23,0.814721016,0.022996766
Account 2,Tuesday,22,0.624359308,0.02374955
Account 2,Monday,23,0.476528084,0.024593128
Account 2,Wednesday,22,0.438803556,0.023341979
Account 2,Saturday,22,0.628032144,0.021555042
Account 2,Sunday,4,0.550637863,0.025974026
Account 2,Wednesday,5,0.79838772,0.031474104
Account 2,Monday,4,0.66047432,0.027205276
Account 2,Thursday,5,0.775596435,0.028010033
Account 2,Thursday,22,0.594706058,0.023628692
Account 2,Friday,5,1.062422209,0.04032604
Account 2,Saturday,5,0.432175561,0.027765338
Account 2,Friday,22,0.810575654,0.021091243
Account 1,Friday,4,0.24546813,0.002814259
Account 2,Tuesday,4,0.917218224,0.029439696
Account 2,Sunday,0,1.056697409,0.014832536
Account 2,Wednesday,23,0.802025834,0.022764228
Account 2,Monday,0,0.479107267,0.016237402
Account 2,Saturday,23,0.479228289,0.015570934
Account 2,Tuesday,23,0.871090302,0.025473934
Account 2,Thursday,4,0.603679722,0.028794241
Account 2,Thursday,23,0.434045577,0.018913972
Account 2,Sunday,3,0.678576204,0.01863354
Account 2,Friday,4,1.105477766,0.040101846
Account 2,Wednesday,4,0.526551185,0.021907216
Account 2,Tuesday,0,0.304276659,0.01055409
Account 2,Saturday,4,0.722439865,0.033954727
Account 2,Monday,3,0.653462823,0.027646662
Account 1,Monday,19,0.342856136,0.017111567
Account 3,Monday,18,0.519620942,0.031271716
Account 2,Friday,23,0.27294656,0.012543554
Account 1,Sunday,18,0.187165275,0.015918958
Account 3,Monday,19,0.692631237,0.040470935
Account 1,Monday,18,0.388134554,0.026986507
Account 2,Tuesday,3,0.54284723,0.025506377
Account 2,Sunday,1,0.594116501,0.024849398
Account 3,Monday,17,0.57903243,0.0304414
Account 1,Monday,20,0.58229388,0.024124514
Account 2,Monday,1,0.41253579,0.015661707
Account 3,Monday,20,0.250900694,0.012841091
Account 1,Monday,11,0.38082686,0.038554217
Account 1,Sunday,19,0.739192945,0.017045455
Account 1,Monday,17,0.393102489,0.026251025
Account 1,Sunday,17,0.24194901,0.016722408
Account 3,Sunday,19,0.205670587,0.010178117
Account 2,Sunday,2,0.139188345,0.015397776
Account 3,Sunday,18,0.600281341,0.029134533
Account 1,Monday,16,0.288254377,0.012886598
Account 3,Monday,11,0.197246075,0.011284722
Account 1,Monday,9,0.26268151,0.024756852
Account 2,Tuesday,1,0.283654544,0.016260163
Account 1,Monday,13,0.624484884,0.026268116
Account 1,Sunday,16,0.112696341,0.004549591
Account 3,Sunday,17,0.706008188,0.02189781
Account 1,Monday,10,0.393373921,0.023809524
Account 2,Monday,2,0.884067344,0.022956841
Account 3,Sunday,20,0.550394885,0.021178637
Account 3,Monday,13,0.43697485,0.017592593
Account 3,Monday,9,0.423034368,0.016682113
Account 1,Monday,8,0.394085692,0.035747883
Account 2,Thursday,3,0.255843155,0.019811321
Account 3,Monday,16,0.677061209,0.023607177
