Date,Miner,Hashrate
2021-02-28,RD5x3KxkvhDNUE3XA4wpWJK45H7MBtDG7N,322.60 GH/s
2021-02-28,RAXNZ1Rwp2wRf4miqnMALWkKMgFdf5QVRc,64.22 GH/s
2021-02-28,RBKNZ1gEjpVQjZsptuNN5UKRrswWP5Lhp9,44.26 GH/s
2021-02-28,RAGfpNwJVVwsDu8ypKgpXF7vbKuVkH8NAo,35.78 GH/s
2021-02-28,rNN7pSN96Vzm7jvUmWtm6WBVviVJ8fsyYk,29.55 GH/s
2021-02-28,RVanpaV1WZ1SrnvYzNeFwxt6PLb1yHyaCk,27.12 GH/s
2021-02-28,RDBw77D3ZtBPNGVGYrqo1EjSD6mKdLKcXj,22.23 GH/s
2021-02-28,RTq3JrK8tJJ465ZodDPXbkM5Hxqk6qmgz4,21.88 GH/s
2021-02-28,RUoyrwmGCo19KcQFrswCuYL9kLfbUgQBmi,15.22 GH/s
2021-02-28,RWd2AeZKMbdoVz4ymBt2XRDwUWGEwiXT69,14.42 GH/s
2021-02-28,RVcoGBmbC7VgurfqD6q9fMhGWTj37KWTkw,14.00 GH/s
2021-02-28,RTF5cAu2MXgMbZzGFc4ZmJxwc7pKaYCMMJ,11.53 GH/s
2021-02-28,RY8FoprPzmmqe7iuPe3t1KL7fCd7Q5ebX5,9.48 GH/s
2021-02-28,RFK27yF5jDzYTi2VUkStq5EBYz4CFiggkw,9.17 GH/s
2021-02-28,RFnQ4X3jb1HLbRy52RKkS8L8stCRqg8Goc,8.56 GH/s
2021-02-28,RJ7cFBjYCShXNmHjcba6baAmVGXvpJZ3kd,8.07 GH/s
2021-02-28,RSg8WMygEw1RaXQBqgf9XK9xrw9ub5S7CF,7.57 GH/s
2021-02-28,RTiV6FKdedtE4aZ2gr2fR72WsUpc16wL6F,7.21 GH/s
2021-02-28,R9pELUokEDsAzvMCpoDjHvfA3efMhv5khy,6.11 GH/s
2021-02-28,RN5nXtjgp7e7Rv92Zed4DmxZYnXHQ7aXco,5.85 GH/s
2021-02-28,RULMkDUqGWf8sByJG1AJG9BB5Wy2296BXx,5.82 GH/s
2021-02-28,RPboLkx74FaK4dk6PYghNK9KBTEXTpouKc,5.31 GH/s
2021-02-28,RE8Ng16kUXuv7CNVeuRRBPe7j1UDxbuif8,5.23 GH/s
2021-02-28,RC64kmGa7WpLQHqNmooxrBmjirR2B7RwHF,5.19 GH/s
2021-02-28,RQwgrdRcFQVAzebRX5J5EH6bREpNG7WEfn,5.16 GH/s
2021-02-28,RCQAaUTuVJx9fsf8G6n3iaiSoeMUHUikeP,4.97 GH/s
2021-02-28,RE98Ha5ybHPSAc2Nyn83uL9Dv6v4ShWg1R,4.93 GH/s
2021-02-28,RFY4srAgj7CBGUsKnfXucvX2EQAka9qt47,4.90 GH/s
2021-02-28,RNtjhKpnxvuCzjN3QasowSpoz3XLd99Yv2,4.87 GH/s
2021-02-28,RLTYcDQ51MWPfFgteBsPi4G97GjsnspMuF,4.68 GH/s
2021-02-28,RLGyujp8HbwhHnch1mhc8iKX4St9KN7u8G,4.66 GH/s
2021-02-28,RWMeSdZgM4Wocb9JMb4wg2McTWHQfscpav,4.60 GH/s
2021-02-28,RExT4MqqGbSajH3xUCQZqdbKk8YS1r98Sb,4.35 GH/s
2021-02-28,RSnDSAJfLraQK3rjQpbEC12D8RaA3aieCA,4.22 GH/s
2021-02-28,RKNXqWmZo8vUBqRkuDoorxyhm4cU5yKyq7,4.20 GH/s
2021-02-28,RMFmdvBuYSSmJSWaJ7kQtmCXaS2AjvMYZB,4.19 GH/s
2021-02-28,RPMkqaX2Te2zd3tpjiyyxF2smiY84yq35X,4.04 GH/s
2021-02-28,RGMzgCvyjkcKNcHK11ayXPifoQZAiGUnZp,3.95 GH/s
2021-02-28,RCRKTFimNjJczyawY9sZDTVk1BgGvjm8c6,3.90 GH/s
2021-02-28,REbLURJAaxYt2fV4kSi18ohw5tnfU2macT,3.89 GH/s
2021-02-28,RMQxfLGtSvL2feSE4w1pyHawaebxeTbcV6,3.86 GH/s
2021-02-28,RY9fxa63g153zYhn6jEFxj1sWCAYkSbGBs,3.82 GH/s
2021-02-28,RH2swPipTDBBNxEBdzWuNa4roBu6kFzoTz,3.78 GH/s
2021-02-28,RAVmr9RoB2cmZ99Gs9qAPS7mHBmzUHtocU,3.69 GH/s
2021-02-28,RLzf2AsjmE7P5G1rquK8TXNLbPrkAXt4ag,3.46 GH/s
2021-02-28,RM85ULtQ3AGMrZxKigget7bVfHdVBgLx7q,3.43 GH/s
2021-02-28,RG3PBFuT34YDHSBu1TYXWwGvcyFMyE27aN,3.40 GH/s
2021-02-28,RDgfEVC7meJgyczu9zgtnPXmYcPH1LJHLW,3.33 GH/s
2021-02-28,RGQRMBiBzqUCtDqYcZk6pEhtE2jWYKXLbB,3.32 GH/s
2021-02-28,RRjMDDBMDfkGV8Q4kY9VBRCBBXUHqGB8es,3.18 GH/s
2021-02-28,RVSfXgzFrHu5oedgDBy7ZXVBdA8eK54ynX,3.13 GH/s
2021-02-28,REUrXGqFPfrUSpTZVtiiw9q2xy1D13AZFz,3.11 GH/s
2021-02-28,RStwutjnoTTUy3YMzQRMiAGfXqNTgRcGyv,3.10 GH/s
2021-02-28,RRkoQ2MgVxwPh54hPdpQ4q97XsiwHheytS,3.06 GH/s
2021-02-28,RTbkBP4Ev4BJ5HJAtdc3qTigBcY3L5jmVB,3.05 GH/s
2021-02-28,REmPJrAdfvxNNZbXFEQWVdqx56LyGoLzFG,3.03 GH/s
2021-02-28,RMA5hR5R7UFn5TaKdF78JB5zPyAYtRziQH,2.96 GH/s
2021-02-28,R9NyMvLC81wo6FCmMV6gteD6ADh6gezGUc,2.92 GH/s
2021-02-28,R9yEacuF7DDMhvRzdLWhAzdhuypEjNGufT,2.91 GH/s
2021-02-28,RH4zvrxetqwo5mSgrkKAHRBfJUrzHwAoNb,2.87 GH/s
2021-02-28,RVZA1yeNbPJ5FykPXkPcF4nqMT428FwpT5,2.85 GH/s
2021-02-28,RL8s5uF9D8vn7e8YZTaqQ3mPzXBRQwaQdd,2.84 GH/s
2021-02-28,RDXWETZWw3aAWz8Qcpvrk3HuSwkdS5U3Zs,2.72 GH/s
2021-02-28,RXFwcbyuoe8E1hw1YooHRD92PzRa9Xzr2Z,2.71 GH/s
2021-02-28,RCNUqhy15BsiMA6VJndSJK7PhYC5sX17ZV,2.69 GH/s
2021-02-28,RX9ZqYzrrYG1VJgLANeEZp1vvL9cAYoYdi,2.63 GH/s
2021-02-28,RCdkywK6sa2qkGAkP4WuY55u2nkYu2fVC9,2.61 GH/s
2021-02-28,RCa9ZLbAcqzU96Cdib5v2AWt3e8yBGg4AG,2.56 GH/s
2021-02-28,RB9VdeYVkwL3ZkhMb2b69UGvwsRaH4SYtu,2.56 GH/s
2021-02-28,RHPXfpjmTff4hJwgAesQcFCUn1r61ag9jG,2.52 GH/s
2021-02-28,REKQL5mJSfsE1HLigMNWGqywYXZKrovE6w,2.51 GH/s
2021-02-28,RBRFFhfx2qqsWTyGxNxj9gAtBtnJ2ooJ83,2.51 GH/s
